EPA File No.,Complainant/Attorney,Date of Title VI complaint,Accused Agency,Claim of Discrimination,Concern Employment Discrimination? Y/N,Grievance Summary,Neighborhood,City,State,County,Date EPA received complaint,Complaint filed within 180 day limit? ,Complaint describes Title VI prohibited discrimination? ,Accused agency receives EPA funding? ,OCR Review Ruling,Referred agency,Date OCR sent review response to complainant,OCR InvestigationDate ,Final Adjudication & Reason,CPI OCR FINAL INVESTIGATION DATE ,Documents
01R-09-R4,Redacted,1/19/09,"City of St. Augustine, State of Florida",,No,"Complaint alleged the city and state had a practice of siting dumps and other facilities in low income, African-American communities while providing no administrative remedies or meetings for affected residents.  ",West Augustine,,,,1/22/09,,,,Accepted,,9/9/10,,Pending,,https://www.documentcloud.org/documents/2162385-epa_01r-09-r4.html
01R-11-R6,"Katz, Marshall & Banks",9/24/10,Southwestern Oklahoma Development Agency ,,Yes,"Complainant, a worker at SWODA, alleged agency retaliated after complainant raised concerns about wastewater being used to irrigate a golf course.  ",,,OK,WASHITA COUNTY,10/29/10,Yes,N/A,N/A,No Review,,12/1/10,,Closed - Withdrawn,12/15/10,https://www.documentcloud.org/documents/2162386-epa_01r-11-r6.html
01R-12-R4,Atty. David Ludder ,1/3/12,Alabama Dept. of Environmental Management,RACE,No,Complaint alleged ADEM's reissuance of a permit to increase the disposal area of the Arrowhead Landfill had a disparate impact on the African-American neighborhood closest to the facility. ,,UNIONTOWN,AL,PERRY COUNTY,1/3/12,Yes,Yes,Yes,Accepted,,6/14/12,,Dismissed without prejudice,9/26/12,https://www.documentcloud.org/documents/2162387-epa_01r-12-r4.html
01R-13-R5,Redacted,1/6/13,Saginaw Wastewater Treatment Facility,,No,Complainant alleged that hazardous waste was coming through the shower plumbing at Saginaw County Correctional Facility. ,,FREELAND,MI,SAGINAW COUNTY,1/15/13,N/A,N/A,No,Rejection,US Justice Department,4/16/13,,"Denied - Financial, Referred ",,https://www.documentcloud.org/documents/2162388-epa_01r-13-r5.html
01R-97-R9,"Alviso Community in Action, and Alviso residents",1/30/97,"San Jose City Council, City of San Jose, San Jose Neighborhood Services Dept. ","RACE, NATIONAL ORIGIN",,"Complaint alleged the siting, permitting, expansion and operation of a road material processing facility was discriminatory because it concentrated a large portion of waste near Alviso. ",,ALVISO,CA,,2/1/97,N/A,N/A,No,Rejection,,5/9/97,,Denied - Financial,,https://www.documentcloud.org/documents/2162389-epa_01r-97-r9.html
01R-98-R3,Greater Harrisburg Area Branch of the NAACP,2/27/98,Pennsylvania Dept. of Environmental Protection,RACE,No,Complaint alleged that a proposed permit for an infectious and chemotherapeutic waste facility would disproportionately impact an African American community.,,HARRISBURG,PA,,3/1/98,N/A,N/A,N/A,No Review,,7/26/99,,Denied - Moot,7/26/99,https://www.documentcloud.org/documents/2162390-epa_01r-98-r3.html
01R-99-R9,"Midway Village Advisory Committee, Golden Gate University Environmental Law & Justice Clinic",1/19/99,California EPA Dept. of Toxic Substances Control,RACE,No,Complaint alleged that approval of a soil remediation and drainage project at adjacent Bayshore Park disproportionately affected residents of Midway Village and exacerbated  pollution in the area. ,Midway Village in Visitacion Valley,DALY CITY,CA,SAN MATEO COUNTY,1/20/99,No,Yes,Yes,Rejection,,7/26/99,,Denied - Untimely,,https://www.documentcloud.org/documents/2162391-epa_01r-99-r9.html
01S-10-R3,Redacted,12/31/09,"U.S. Air Force, Maryland Dept. of Transportation, Maryland Dept. of Transportation",SEX,Yes,Complaint alleged that more women than men being laid off in a male-dominated agency that was still hiring employees for new or vacant positions. ,,,MD,,12/31/09,Yes,Yes,No,Rejection,Equal Employment Opportunity Commission   ,3/26/10,,Denied - Referred,,https://www.documentcloud.org/documents/2162392-epa_01s-10-r3.html
01S-99-R9,Redacted,6/4/99,,,Yes,Complaint alleged her employment contract was terminated in retaliation for a complaint she filed against her supervisor for giving preferential treatment to male employees in training opportunities. ,,,,,8/3/99,,,,No Review,Oakland Local Office of the EEOC,N/A,,Closed - Referred,N/A,https://www.documentcloud.org/documents/2162393-epa_01s-99-r9.html
02R-00-R9,Pittsburgh Unified School District Board of Trustees; Californians for Renewable Energy ,4/14/00,"Bay Area Air Quality Management District, California Air Resources Board, California Energy Commission","RACE, LOW INCOME",No,Complaint alleged that the Pittsburg District Energy Facility CEC and the Delta Energy Center would have disparate impacts on a nearby minority community. ,,PITTSBURG,CA,CONTRA COSTA COUNTY,4/17/00,Yes,Yes,Yes,Accepted,,12/1/01,,Pending,N/A,https://www.documentcloud.org/documents/2162394-epa_02r-00-r9.html
02R-01-R9,Pitt River Tribe & the Native Coalition for Medicine Lake Highlands Defense,12/12/00,Siskiyou County Air Pollution Control District,"RACE, COLOR, NATIONAL ORIGIN",No,Complaint alleged the air district approved permits for the construction and operation of a major geothermal power plant on sacred lands used by neighboring tribes.,Medicine Lake Highlands,MEDICINE LAKE,CA,,2/1/01,Yes,Yes,Yes,Accepted,,2/6/02,11/3/03,Dismissed without prejudice,11/2/03,https://www.documentcloud.org/documents/2162395-epa_02r-01-r9.html
02R-02-R9,Don't Waste Arizona,1/28/02,Arizona Dept. of Environmental Quality ,"RACE, INCOME",No,Complaint alleged that ADEQ failed to provide a means for citizens in Hayden and Winkleman to complain about the agency. ,,"HAYDEN, WINKELMAN",AZ,,2/22/02,Yes,Yes,Yes,Accepted,,8/20/02,9/26/12,Dismissed,9/26/12,https://www.documentcloud.org/documents/2162396-epa_02r-02-r9.html
02R-03-R4,Redacted,2/13/03,Metro Nashville Board of Zoning Appeals,RACE,,Complaint alleged that officials failed to adequately consider the objections of the majority African- American community to the siting of a proposed development. The site contained toxic chemicals and the community feared exposure during excavation and construction. ,,NASHVILLE,TN,,2/2/03,N/A,N/A,No,Rejection,,4/25/03,,Denied - Financial,,https://www.documentcloud.org/documents/2162397-epa_02r-03-r4.html
02R-04-R4,NAACP ,2/16/04,Alabama Dept. of Environmental Management,,No,Complaint alleged ADEM discriminated against African-American and low- income residents who lived near the Continental Carbon plant by not holding a public hearing prior to granting an operating permit. ,,"PHENIX CITY, RUSSELL, COLUMBUS",AL,,2/24/04,N/A,N/A,N/A,No Review,,3/29/05,,Closed - Withdrawn,6/13/05,https://www.documentcloud.org/documents/2162398-epa_02r-04-r4.html
02R-05-R6,Redacted,9/15/04,Hughes (Ark.) Water and Sewage Department,"RACE, SEX",No,Complaint alleged business owner was treated disrespectfully and harrassed by a local sewage inspector because of her race and gender.  ,,HUGHES,AR,,2/22/05,N/A,N/A,No,Rejection,US Department of Agriculture,11/18/05,,"Denied - Financial, Referred",,https://www.documentcloud.org/documents/2162399-epa_02r-05-r6.html
02R-06-R4,Communities United for Action,4/19/06,"Ohio EPA, City of Cincinnati Board of Health","RACE, LOW INCOME",No,"Complaint alleged that city and state officials ignored environmental justice concerns about the siting of a waste transfer facility and immediately approved a renewal of the license, despite earlier concerns from local EPA officials about the location. ",Winton Hills,CINCINNATI,OH,,4/20/06,No,N/A,N/A,Rejection,,6/6/08,,Denied - Untimely,,https://www.documentcloud.org/documents/2162400-epa_02r-06-r4.html
02R-07-R10,Redacted,12/20/06,Oregon Dept. of Public Lands,"RACE, COLOR, NATIONAL ORIGIN, AGE, RETALIATION",Yes,"Complaint alleged employees' dismissals were motivated by race, color, national origin and age. ",,,OR,,3/23/07,N/A,N/A,No,Rejection,,1/9/08,,Denied - Claims,,https://www.documentcloud.org/documents/2162401-epa_02r-07-r10.html
02R-08-R9,Don't Waste Arizona,1/11/08,Arizona Dept. of Enviornmental Quality,"RACE, LOW INCOME",No,Complaint alleged ADEQ's air pollution program discriminated against minority residents because the agency hadn't resolved issues raised in previous civil rights complaints or conducted an environmental justice assessment of the region.,,"HAYDEN, WINKELMAN",AZ,,1/15/08,No,N/A,N/A,Rejection,,7/10/09,,Denied - Untimely,,https://www.documentcloud.org/documents/2162402-epa_02r-08-r9.html
02R-09-R6,Redacted,2/24/09,U.S. EPA,"RACE, COLOR, NATIONAL ORIGIN, AGE",No,Complaint alleged an inadequate environmental impact statement was prepared for a power plant near a Native American community. ,Dooda Desert Rock,NAVAJO NATION,NM,,3/9/09,N/A,N/A,No,Rejection,,N/A,,Denied - Financial,,https://www.documentcloud.org/documents/2162403-epa_02r-09-r6.html
02R-11-R4,Redacted,2/17/11,Escambia County Board of Commissioners,"RACE, ETHNICITY, AGE",No,"Complaint alleges discrimination from the local board of commissioners, which denied complainant road paving and drainage correction services around his properties. ",,,FL,ESCAMBIA COUNTY,4/15/11,N/A,N/A,N/A,No Review,US Transportation Department,9/6/11,,Closed - Referred,9/6/11,https://www.documentcloud.org/documents/2162404-epa_02r-11-r4.html
02R-12-R6,Redacted,9/20/11,Louisiana Dept. of Environmental Quality,,No,Complaint alleged LDEQ didn't tell residents in the Harvey community about the hazards of radioactive materials being removed from the Grefer Tract. ,,HARVEY,LA,,9/27/11,N/A,No,N/A,Rejection,,5/15/12,,Denied - Claim,,https://www.documentcloud.org/documents/2162405-epa_02r-12-r6.html
02R-13-R3,Redacted,6/3/13,State Correctional Institution at Greene,"RELIGION, DISABILITY",No,"Complainant, a state prison inmate, alleged a worker denied several disability medical claims for him and sexually assaulted him during procedures.",,WAYNESBURG,PA,,1/30/13,N/A,N/A,No,Rejection,US Justice Department,7/24/13,,Denied - Referred,,https://www.documentcloud.org/documents/2162406-epa_02r-13-r3.html
02R-97-R6,Residents Opposed to Pigs and Livestock,2/3/97,Texas A&M's Animal Science Teaching Research and Extension Complex,"RACE, NATIONAL ORIGIN",,Complaint alleged that a university's siting of a livestock complex next to an African-American community disproportionately impacted minority residents and unduly exposed them to hazards. ,Brushy,COLLEGE STATION,TX,BRAZOS COUNTY,2/3/97,No,N/A,N/A,Rejection,,6/2/97,,"Denied - Untimely, Litigation",,https://www.documentcloud.org/documents/2162407-epa_02r-97-r6.html
02R-98-R4,Jefferson County Black Chamber of Commerce,1/20/98,Jefferson County Commission,RACE,No,"Complaint alleged the commission was spending public dollars in a way that was discriminatory against African-American vendors, contractors and employees. ",,,AL,JEFFERSON COUNTY ,1/20/98,N/A,No,No,Rejection,,4/21/98,,Denied - Claims,,https://www.documentcloud.org/documents/2162408-epa_02r-98-r4.html
02R-99-R9,Waimanalo Citizens for a Health Future,12/30/98,Hawaii Department of Health,RACE,No,Complaint alleged the state discriminated against minority residents by allowing a biowaste facility to operate in violation of a solid waste permit and without a proper public hearing.,Waimanolo,HONOLULU,HI,HONOLULU COUNTY,1/1/99,Yes,Yes,Yes,Accepted,,10/30/00,6/16/03,Dismissed,6/16/03,https://www.documentcloud.org/documents/2162409-epa_02r-99-r9.html
02Sar-10-R8,RDM Multi-Enterprises,3/24/09,"Montana Secretary of State, Montana Dept. of Revenue and Montana Dept. of Environmental Quality","SEX, AGE",No,Complaint alleged a conspiracy between the government and several private companies to threaten the viability of the business complainant started. ,,ANACONDA,MT,,1/11/10,No,No,No,Rejection,,4/22/10,,Denied - Referred,,https://www.documentcloud.org/documents/2162410-epa_02sar-10-r8.html
03D-08-R6,Redacted,3/13/08,Texas Commission on Environmental Quality,DISABILITY,No,Complaint alleged the state didn't adequately evaluate the potential health effects on students attending nearby schools before issuing an operating permit for a smelter. ,,EL PASO ,TX,,4/1/08,N/A,N/A,N/A,Rejection,,5/4/09,,Denied - Moot,,https://www.documentcloud.org/documents/2162411-epa_03d-08-r6.html
03M-97-R3,"Ford & Associates, Plant Care ",9/20/96,Washington Suburban Sanitary Commission ,RACE,Yes,Complainant alleged the bidding process for WSSC was skewed to discourage or disqualify minority-owned firms from competing for contracts. ,,SILVER SPRING,MD,,9/20/96,N/A,No,N/A,Rejection,,6/23/97,,Denied - Claims,,https://www.documentcloud.org/documents/2162412-epa_03m-97-r3.html
03R-00-R4,Justice Resource Center,6/6/00,"Metropolitan Sewer District, Kentucky Natural Resources Cabinet",RACE,No,Complaint alleged the company was dumping untreated sludge in a brick-lined pit and the sewer authority had failed to address odors from the facility; also alleged no public hearing was held for a plant expansion.,West End,LOUISVILLE,KY,JEFFERSON COUNTY,6/1/00,N/A,No,N/A,Rejection,"EPA's Office of Environmental Justice, Solid Waste and Water",3/30/01,,Denied - Claims,9/19/01,https://www.documentcloud.org/documents/2162413-epa_03r-00-r4.html
03R-01-R4,Redacted,11/29/00,"Thomas County Board of  Commissioners, Georgia Dept. of Natural Resources Environmental Protection Division","RACE, INCOME",No,Complaint alleged minorities were not protected from the health and safety risks posed by an asphalt plant and were subjected to noise pollution. ,,MEIGS,GA,THOMAS COUNTY,12/16/00,No,N/A,No,Rejection,,N/A,,"Denied - Financial,  Untimely",,https://www.documentcloud.org/documents/2162414-epa_03r-01-r4.html
03R-03-R9,Don't Waste Arizona,7/21/03,Arizona Dept. of Environmental Quality ,"RACE, LOW INCOME",,Complaint alleged the state didn't provide a way for low-income and Latino residents to complain about air pollution from a copper smelter.,,"HAYDEN, WINKELMAN",AZ,GILA COUNTY,7/2/03,Yes,Yes,Yes,Accepted,,10/7/05,,Dismissed,9/26/12,https://www.documentcloud.org/documents/2162415-epa_03r-03-r9.html
03R-04-R2,The Partnership of Onondaga Creek,4/9/04,New York State Dept. of Environmental Conservation,RACE,No,"Complaint alleged ineffective public participation afforded the community regarding an above-ground regional treatment facility, and an adverse impact on a predominantly African American community.  ",Southside,SYRACUSE,NY,ONONDAGA COUNTY,4/14/04,Yes,Yes,Yes,Accepted,,9/20/04,3/18/05,Dismissed,3/18/05,https://www.documentcloud.org/documents/2162416-epa_03r-04-r2.html
03R-05-R9,Don't Waste Arizona ,3/22/05,Arizona Dept. of Environmental Quality,RACE,No,Complaint alleged the state discriminated by failing to adequately  implement an emergency telephone notification system to alert residents to hazardous chemical releases. ,West and South Phoenix,PHOENIX,AZ,,3/30/05,Yes,Yes,Yes,Accepted,,4/21/09,12/30/10,Dismissed,12/30/10,https://www.documentcloud.org/documents/2162418-epa_03r-05-r9.html
03R-06-R5,"Chicago Legal Clinic, South Suburban Citizens Opposed to Polluting Our Environment",4/19/06,Illinois EPA ,RACE,No,"Complaint alleged the state EPA ignored the concerns of minority residents in issuing a permit to Geneva Energy to restart operations at a tire-to-energy facility in Ford Heights, Ill. ",,FORD HEIGHTS,IL,COOK COUNTY,4/24/06,Yes,Yes,Yes,Accepted,,1/27/09,4/23/13,Closed - Settlement,4/23/13,https://www.documentcloud.org/documents/2162419-epa_03r-06-r5.html
03R-07-R9,"Don't Waste Arizona, Concerned Residents of South Phoenix (CRSP)",3/27/07,"Arizona Dept. of Environmental Quality, Maricopa County Air Quality Dept.","RACE, NATIONAL ORIGIN",No,"Complaint alleged the state discriminated by issuing permits for portable sand and gravel outfits, cement batch plants and asphalt batch plants without requring a monitoring system or emissions reports for the facilities. ",Salt River bed from 32nd Street to 91st Avenue,PHOENIX,AZ,MARICOPA COUNTY,3/27/07,Yes,Yes,Yes,Accepted,,5/27/08,,Pending,N/A,https://www.documentcloud.org/documents/2162420-epa_03r-07-r9.html
03R-09-R8,Redacted,4/23/08,National Older Worker Career Center,"SEX, DISABILITY ",Yes,Complainant alleged a gender-based firing after a security violation. ,,DENVER ,CO,,4/27/09,Yes,Yes,Yes,Accepted,,6/25/10,7/8/11,Dismissed,7/8/11,https://www.documentcloud.org/documents/2162421-epa_03r-09-r8.html
03R-11-R4,Redacted,12/3/10,"U.S. EPA,  Georgia Environmental Protection Division ",,No,Complaint alleged son's illness was caused by the state's failure to mitigate hazardous waste from nearby petroleum facilities despite knowing complainant's home was in a susceptibility zone. ,,WINTERVILLE,GA,,4/15/11,N/A,N/A,N/A,No Review,,11/9/11,,Closed - Withdrawn,11/9/11,https://www.documentcloud.org/documents/2162422-epa_03r-11-r4.html
03R-12-R9,"Asamblea de Poder Popular de Gonzalez, & three residents",2/28/12,Salinas Valley Solid Waste Authority ,"RACE, NATIONAL ORIGIN, ETHNIC GROUP IDENTIFICATION ",No,"Complaint alleged inadequate translation services during public- comment periods, and a disparate impact on a Latino community selected as a site for a conversion technology facility.",,GONZALES,CA,MONTEREY COUNTY,3/2/12,Yes,Yes,Yes,Accepted,,1/14/13,,Pending,N/A,https://www.documentcloud.org/documents/2162423-epa_03r-12-r9.html
03R-13-R4,Rachoon Hogg Community Development Corporation,1/10/13,Georgia Dept. of Natural Resources; McIntosh County Board of Commissioners,"RACE, COLOR, NATIONAL ORIGIN",No,Complaint alleged state  misappropriated federal funds and supplied substandard water protection and sewage services for the Sapelo Island indigenous people. ,,SAPELO ISLAND,GA,MCINTOSH COUNTY ,2/4/13,No,N/A,N/A,Rejection,,12/2/13,,Denied - Referred,,https://www.documentcloud.org/documents/2162424-epa_03r-13-r4.html
03R-97-R9,"Concerned Citizens of South Central Los Angeles, Communities for a Better Environment - La Causa",3/26/97,California EPA Dept of Toxic Control Substances,"RACE, NATIONAL ORIGIN",,Complaint alleged that siting a hazardous waste treatment and storage facility near a Latino community showed a discriminatory pattern in the permitting process. ,,VERNON,CA,,3/26/97,No,N/A,N/A,Rejection,EPA Headquarters and Region 9,4/18/97,,Denied - Untimely,,https://www.documentcloud.org/documents/2162425-epa_03r-97-r9.html
03R-98-R6,Redacted,3/23/98,"Arkansas Dept. of Pollution Control & Ecology, City of Warren",RACE,No,Complaint alleged officials contributed to the systemic degredation of a black community and approved a permit that polluted residential properties. ,Gannaway Addition,WARREN,AR,,3/23/98,No,N/A,No,Rejection,,4/21/98,,"Denied - Financial, Claims",,https://www.documentcloud.org/documents/2162426-epa_03r-98-r6.html
03R-99-R2,Onondaga Nation,1/26/99,New York Dept. of Environmental Conservation,"RACE, NATIONAL ORIGIN, RELIGION",No,Complaint alleged that a mining permit for operations at the headwaters of Onondaga Creek would discriminate against the Onondaga Nation. ,Onondaga Nation,SYRACUSE,NY,ONONDAGA COUNTY,1/27/99,No,No,Yes,Rejection,,7/6/99,9/27/01,Denied - Claims,,https://www.documentcloud.org/documents/2162427-epa_03r-99-r2.html
03Rr-10-R4,Redacted,8/3/09,"Alabama Department of Transportation, Regional Planning Commission of Greater Birmingham ",RACE,Yes,Complainant alleged officials required complainant to provide additional information - included a performance bond form - as part of the application process for the Voluntary Emissions Testing Program. ,,,AL,,1/1/10,N/A,N/A,N/A,No Review,US Transportation Department,6/14/10,,Closed - Referred,6/14/10,https://www.documentcloud.org/documents/2162428-epa_03rr-10-r4.html
03S-02-R10,Redacted,3/1/02,"Portland Bureau of Environmental Services, Portland City Council",GENDER,Yes,Complainant alleged her business was rejected for three projects due to her gender. ,,PORTLAND,OR,,3/1/02,No,No,N/A,Rejection,,4/29/02,,Denied - Untimely,,https://www.documentcloud.org/documents/2162429-epa_03s-02-r10.html
04D-97-R9,Redacted,12/27/96,California Dept. of Conservation Division of Oil Gas & Geothermal Resources,DISABILITY,,Complainant alleged that a DOGGR co-worker's bathroom breaks were excessive and posed a hardship since complainant was required to serve as backup while co-worker was on break. ,,SACRAMENTO,CA,,12/27/96,,,,No Review,"Equal Employment Opportunity Commission, US Justice Department",4/18/97,,Closed - Referred,4/28/97,https://www.documentcloud.org/documents/2162430-epa_04d-97-r9.html
04Dr-12-R2,Redacted,3/19/12,US Virgin Islands Dept. of Human Services Headstart & Preschool,DISABILITY,No,"Complainant alleged a son with diabetes was not given adequate accommodations at school, and complainant was unduly fired for leaving work to take care of son. ",,,US Virgin Islands,,3/26/12,No,N/A,No,Rejection,,9/26/12,,"Denied - Financial, Untimely",,https://www.documentcloud.org/documents/2162431-epa_04dr-12-r2.html
04R-00-R8,Redacted,6/25/00,State of Colorado,RACE,No,Complaint alleged the state failed to enforce groundwater standards for chemical leaking from a landfill. ,,,CO,ADAMS COUNTY,7/1/00,No,No,N/A,Rejection,,8/3/01,,"Denied - Untimely, Claims",,https://www.documentcloud.org/documents/2162433-epa_04r-00-r8.html
04R-01-R10,Redacted,N/A,N/A,WHISTLEBLOWER,No,Complainant alleged eviction from a federally run program occurred after complainant told program managers that another participant had been in jail while absent from the program. ,,,,,2/1/01,No,No,No,Rejection,,8/13/01,,"Denied - Financial, Untimely, Claims",,https://www.documentcloud.org/documents/2162435-epa_04r-01-r10.html
04R-02-R9,Redacted,3/12/02,U.S. Marine Corps,"RACE, NATIONAL ORIGIN",,"Complaint alleged the Restoration Advisory Board failed to conduct meetings or oversee the cleanup of an Air Force base, denying residents an opportunity for meaningful participation. ",Bellows Air Force Base,WAIMANALO,HI,,3/12/02,N/A,N/A,No,Rejection,,4/29/02,,Denied - Financial,,https://www.documentcloud.org/documents/2162436-epa_04r-02-r9.html
04R-03-R2,Redacted,5/26/03,"New Jersey Dept. of Transportation, Town of Neptune, NJ Dept. of Environmental Protection",,No,Complaint alleged a highway-widening project avoided the environmental impact statement process and would disproportionately impact a low-income neighborhood.,,NEPTUNE TOWNSHIP,NJ,,5/26/03,N/A,N/A,No,Rejection,,10/20/03,,Denied - Financial,,https://www.documentcloud.org/documents/2162437-epa_04r-03-r2.html
04R-04-R6,"New Mexico Environmental Law Center, South Valley Coalition of Neighborhood Associations, South West Organizing Project",5/13/99,New Mexico Environment Dept. ,"RACE, COLOR, NATIONAL ORIGIN, INCOME",No,Complaint alleged a permit for a landfill expansion was discriminatory.,"Armijo, Conita Real, Don Andres, Five Points, Foothill, Gunclub West, Los Padillas, Meade, Mountain Viewe, Pajarito Village, Pwersway, South Atrisco, Valley Gardens, Vecinos del Bosque",ALBUQUERQUE,NM,BERNALILLO COUNTY,5/14/99,N/A,N/A,N/A,No Review,,12/17/01,,Dismissed without prejudice,6/13/05,https://www.documentcloud.org/documents/2162438-epa_04r-04-r6.html
04R-05-R4,Involved Citizens of Helena Community,2/28/05,"South Carolina Dept. of Health & Environmental Control, Newberry County Council ",RACE,,Complaint alleged the siting of a solid waste facility was discriminatory because of its location in a minority community.,Helena,NEWBERRY,SC,,3/3/05,No,N/A,No,Rejection,,11/22/05,,"Denied - Financial, Untimely",,https://www.documentcloud.org/documents/2162439-epa_04r-05-r4.html
04R-06-R4,Redacted,3/28/06,N/A,"RACE, DISABILITY",No,Complaint alleged environmental racism and claimed someone was using radiation as a weapon to maim and kill people in the streets. ,,,,,3/28/06,N/A,N/A,N/A,Rejection,,11/21/07,,Denied ,,https://www.documentcloud.org/documents/2162440-epa_04r-06-r4.html
04R-07-R6,Hillcrest Residents Association,4/5/07,Corpus Christi City Council,"RACE, INCOME",No,Complaint alleged the city failed to close a sewage-treatment facility near a neighborhood and approved plans for another plant in the same area.,Northside/Hillcrest,CORPUS CHRISTI,TX,,4/9/07,Yes,Yes,Yes,Accepted,,11/21/07,1/15/09,Closed - Agreement,1/15/09,https://www.documentcloud.org/documents/2162441-epa_04r-07-r6.html
04R-08-R6,Southern Migrant Legal Services,5/20/08,Louisiana Dept. of Agriculture & Forestry,"RACE, NATIONAL ORIGIN",No,Complaint alleged a safety concern was not investigated due to the complainant's national origin. ,,AMITE,LA,,5/27/08,Yes,Yes,Yes,Accepted,,7/29/08,12/14/11,Closed - Settlement,12/15/11,https://www.documentcloud.org/documents/2162442-epa_04r-08-r6.html
