epa_complaint_#,named_entity,clean_date_received,current_status,clean_current_status,clean_current_status_date,clean_current_status_reason,clean_alleged_discrimination_basis,0,1,clean_referred_agency,time_elapsed_since_update
04r-21-r3,"hanover county, va",2021-07-21,rejected 8/12/2021: lack ofjurisdiction,rejected ,2021-08-12,lack ofjurisdiction,race,race,,,22.0
02r-21-r6,texas comm. on envir.quality,2021-08-18,pending:  informal resolutionagreement negotiation,pending,, informal resolutionagreement negotiation,race,race,,,
02rno-21-r2,new york dec,2021-08-30,pending:  informal resolutionagreement negotiation,pending,, informal resolutionagreement negotiation,race;national origin,race,national origin,,
03rno-21-r2,new york dept ofpublic service,2021-08-30,"not accepted for investigation10/21/2021: lack of jurisdiction(accepted by dot and dot, epa,dec and dps are coordinating oninformal resolution agreementnegotiation.",not accepted for investigation,2021-10-21,"lack of jurisdiction(accepted by dot and dot, epa,dec and dps are coordinating oninformal resolution agreementnegotiation.",race;national origin,race,national origin,,52.0
04rno-21-r2,national grid,2021-08-30,"not accepted for investigation10/21/2021: lack of jurisdiction(coordinating with doj, dot,doe)",not accepted for investigation,2021-10-21,"lack of jurisdiction(coordinating with doj, dot,doe)",race;national origin,race,national origin,,52.0
03r-21-r5,kalamazoo county,2021-09-01,rejected 11/24/2021:  untimelyfiled,rejected ,2021-11-24, untimelyfiled,race,race,,,84.0
04r-21-r5,michigan egle(kalamazoo),2021-09-01,pending:  informal resolutionagreement negotiation,pending,, informal resolutionagreement negotiation,race,race,,,
03no-21-r6,new mexico env. dept.,2021-09-16,pending: in informal resolutionagreement negotiation,pending,,in informal resolutionagreement negotiation,nationalorigin,nationalorigin,,,
01u-20-r3,pa dept ofcorrections,2019-10-16,rejected/referred to doj10/17/2020: lack of jurisdiction,rejected/referred to doj,2020-10-17,lack of jurisdiction,,,,doj,367.0
01u-20-r6,texas dept ofcriminal justice,2019-10-29,rejected/referred to doj10/30/2020: lack of jurisdiction,rejected/referred to doj,2020-10-30,lack of jurisdiction,,,,doj,367.0
01r-20-r4,adem - dothan mswlandfill,2019-10-31,rejected without prejudice11/22/2019: not ripe for review,rejected without prejudice,2019-11-22,not ripe for review,race,race,,,22.0
01no-20-r9,utc collinsaerospace,2019-11-04,rejected 11/8/2019: lack ofjurisdiction,rejected ,2019-11-08,lack ofjurisdiction,nationalorigin,nationalorigin,,,4.0
02no-20-r6,texas ceq,2019-11-12,resolved with informal resolutionagreement 11/4/2020: inmonitoring,resolved with informal resolutionagreement ,2020-11-04,inmonitoring,nationalorigin,nationalorigin,,,358.0
03d-20-r6,"senior services ofamerica, inc.",2019-11-14,rejected/referred to eeoc12/9/2019: lack ofjurisdiction/required referral,rejected/referred to eeoc,2019-12-09,lack ofjurisdiction/required referral,disability,disability,,eeoc,25.0
01no-20-r10,puget sound cleanair agency,2019-11-15,rejected without prejudice12/9/2019: not ripe for review,rejected without prejudice,2019-12-09,not ripe for review,nationalorigin,nationalorigin,,,24.0
01d-20-r5,wisconsin dnr,2019-12-05,rejected/referred to eeoc12/26/2019: lack of jurisdiction,rejected/referred to eeoc,2019-12-26,lack of jurisdiction,disability,disability,,eeoc,21.0
02r-20-r9,hawaii doa,2020-01-09,rejected/referred to eeoc1/31/2020: investigationunjustified/lack of jurisdiction,rejected/referred to eeoc,2020-01-31,investigationunjustified/lack of jurisdiction,"retaliation,national origin",retaliation,national origin,eeoc,22.0
02no-20-r10,puget sound cleanair agency,2020-01-31,rejected without prejudice2/25/2020: not ripe for review,rejected without prejudice,2020-02-25,not ripe for review,nationalorigin,nationalorigin,,,25.0
02r-20-r4,nc deq,2020-02-06,rejected without prejudice3/2/2020: not ripe for review,rejected without prejudice,2020-03-02,not ripe for review,"race, nationalorigin",race, nationalorigin,,25.0
03r-20-r4,kennesaw state univ.,2020-02-11,"rejected 3/3/2020: samecomplaint pending with leadagency, us dept of education",rejected ,2020-03-03,"samecomplaint pending with leadagency, us dept of education",race,race,,,21.0
04x-20-r4,nc deq,2020-04-02,rejected 4/6/2020:correspondent contacted ncdeqdirectly to resolve,rejected ,2020-04-06,,race,race,,,4.0
01no-20-r1,mass eea,2020-06-01,rejected: converted tocompliance review 7/27/2020,rejected,2020-07-27,converted tocompliance review 7/27/2020,nationalorigin,nationalorigin,,,56.0
02no-20-r1,ma dept of publicutilities,2020-06-01,rejected 6/29/2020: lack ofjurisdiction,rejected ,2020-06-29,lack ofjurisdiction,nationalorigin,nationalorigin,,,28.0
03no-20-r1,ma energy facilitiessiting board,2020-06-01,rejected 6/29/2020: lack ofjurisdiction,rejected ,2020-06-29,lack ofjurisdiction,nationalorigin,nationalorigin,,,28.0
04dr-20-r6,"city of colleyville, tx",2020-07-09,"rejected 7/31/2020: lack ofjurisdiction, provided dhs info",rejected ,2020-07-31,"lack ofjurisdiction, provided dhs info","disability,retaliation",disability,retaliation,,22.0
01cr-20-r1,mass eea compliancereview,2020-08-10,pending: in informal resolutionnegotiation,pending,,in informal resolutionnegotiation,nationalorigin,nationalorigin,,,
01d-19-r5,mn dept of ag,2018-10-16,resolved with informalresolution agreement8/19/2019: in monitoring,resolved with informalresolution agreement,2019-08-19,in monitoring,disability,disability,,,307.0
01r-19-r4,city of atlanta,2018-11-01,rejected 5/2/2019: allegationsinsufficiently grounded in fact,rejected ,2019-05-02,allegationsinsufficiently grounded in fact,,,,,182.0
02r-19-r4,ga dept of naturalresources,2018-11-01,rejected 5/2/2019: allegationsinsufficiently grounded in fact,rejected ,2019-05-02,allegationsinsufficiently grounded in fact,,,,,182.0
01r-19-r3,va deq,2018-11-21,rejected without prejudice12/28/2018: not ripe for review,rejected without prejudice,2018-12-28,not ripe for review,race,race,,,37.0
01rno-19-r9,collins aerospace,2019-03-26,rejected 4/9/2019: lack ofjurisdiction,rejected ,2019-04-09,lack ofjurisdiction,nationalorigin,nationalorigin,,,14.0
02u-19-r9,ca dept of corrections– medical facility 1,2019-04-03,rejected/referred to doj4/8/2019: lack of jurisdiction,rejected/referred to doj,2019-04-08,lack of jurisdiction,,,,doj,5.0
01rr-19-r6,texas ceq,2019-04-08,rejected/referred to eeoc5/1/2019: lack of jurisdiction,rejected/referred to eeoc,2019-05-01,lack of jurisdiction,"race,retaliation",race,retaliation,eeoc,23.0
03u-19-r9,ca dept of corrections– medical facility 2,2019-04-29,rejected/referred to doj5/2/2019: lack of jurisdiction,rejected/referred to doj,2019-05-02,lack of jurisdiction,,,,doj,3.0
03r-19-r4,city of st. augustine fl,2019-05-08,rejected 5/30/2019: allegationsinsufficiently grounded in fact,rejected ,2019-05-30,allegationsinsufficiently grounded in fact,race,race,,,22.0
04r-19-r4,ga dept of naturalresources,2019-05-23,rejected 6/17/2019: referred todhs/doi as lead agencies,rejected ,2019-06-17,referred todhs/doi as lead agencies,race,race,,,25.0
02no-19-r6,new mexico env. dept.,2019-06-03,resolved and closed 12/18/2019:preliminary finding of insufficientevidence of violation,resolved and closed ,2019-12-18,,nationalorigin,nationalorigin,,,198.0
02u-19-r3,otto berg apts. (dc),2019-07-24,rejected 7/25/2019: lack ofjurisdiction,rejected ,2019-07-25,lack ofjurisdiction,,,,,1.0
03r-19-r3,wvdep,2019-09-24,resolved with informalresolution agreement 1/8/2021:in monitoring,resolved with informalresolution agreement ,2021-01-08,,"race, no",race, no,,472.0
04r-19-r3,jefferson county (wv)commission,2019-09-24,administratively closed1/7/2020: lack of jurisdiction(originally accepted 10/17/2019),administratively closed,2019-10-17,lack of jurisdiction(originally accepted 10/17/2019),race,race,,,23.0
01cr-19-r4,owasa (nc)compliance review,2019-09-27,resolved with informalresolution agreement 5/6/2020:in monitoring,resolved with informalresolution agreement ,2020-05-06,,race,race,,,222.0
01x-18-r6,texas department ofcriminal justice,2018-03-06,rejected/referred to doj3/13/2018: lack of jurisdiction,rejected/referred to doj,2018-03-13,lack of jurisdiction,,,,doj,7.0
01x-18-r9,"wilmington, ca",2018-03-12,rejected 4/20/2018: lack ofjurisdiction,rejected ,2018-04-20,lack ofjurisdiction,,,,,39.0
01r-18-r4,nc dept. ofenvironmental quality,2018-03-28,rejected without prejudice4/20/2018:  pending w/stateagency,rejected without prejudice,2018-04-20, pending w/stateagency,race,race,,,23.0
02r-18-r9,la unified school dist.,2018-05-15,rejected 6/1/2018: lack ofjurisdiction and untimely,rejected ,2018-06-01,lack ofjurisdiction and untimely,"race,national origin",race,national origin,,17.0
02r-18-r4,nc deq – atlanticcoast pipeline,2018-05-16,rejected without prejudice8/24/2018: not ripe forinvestigation,rejected without prejudice,2018-08-24,not ripe forinvestigation,race,race,,,100.0
03r-18-r4,adem - grievanceprocedures,2018-06-13,resolved with insufficientevidence finding and closed12/3/2018,resolved with insufficientevidence finding and closed12/3/2018,2018-12-03,,proceduralviolations,proceduralviolations,,,173.0
01r-18-r3,va deq – atlanticcoast pipeline,2018-06-19,rejected without prejudice8/24/2018: not ripe forinvestigation,rejected without prejudice,2018-08-24,not ripe forinvestigation,race,race,,,66.0
02r-18-r3,philadelphia dept. ofhealth,2018-08-01,rejected without prejudice8/23/2018:  pending with localagency,rejected without prejudice,2018-08-23, pending with localagency,race,race,,,22.0
04x-18-r4,alabama dept. ofcorrections,2018-08-06,rejected and referred to doj8/8/2018: lack of jurisdiction,rejected and referred to doj,2018-08-08,lack of jurisdiction,,,,doj,2.0
03u-18-r3,"moniteau schooldistrict, pa",2018-08-13,rejected 8/30/2018: lack ofjurisdiction,rejected ,2018-08-30,lack ofjurisdiction,,,,,17.0
03d-18-r9,los angeles countydept of public works,2018-08-13,"rejected 12/20/2018: moot, notappropriate for investigation",rejected ,2018-12-20,"moot, notappropriate for investigation",,,,,129.0
05r-18-r4,sc dept of health andenvir control,2018-08-16,rejected 9/7/2018: untimelyfiled,rejected ,2018-09-07,untimelyfiled,race,race,,,22.0
05r-18-r9,city and county of sanfrancisco,2018-09-18,rejected 12/20/2018: allegationnot grounded in fact/notappropriate for investigation,rejected ,2018-12-20,allegationnot grounded in fact/notappropriate for investigation,race,race,,,93.0
06r-18-r9,calepa/dtsc,2018-09-18,rejected 12/20/2018: allegationnot grounded in fact/notappropriate for investigation,rejected ,2018-12-20,allegationnot grounded in fact/notappropriate for investigation,race,race,,,93.0
01r-17-r5,illinois epa,2016-11-02,rejected 11/24/2017: lack ofjurisdiction; untimely filed,rejected ,2017-11-24,lack ofjurisdiction; untimely filed,race,race,,,387.0
02r-17-r9,ca air resources board,2016-11-14,administratively closed:complainant withdrewcomplaint,administratively closed,,,race,race,,,
03d-17-r4,kentucky energy &environmental cabinet,2016-11-29,rejected 9/15/2017:  allegationnot grounded in fact/notappropriate for investigation,rejected ,2017-09-15, allegationnot grounded in fact/notappropriate for investigation,,,,,290.0
04d-17-r9,"avalonbaycommunities, inc.",2016-11-29,rejected 11/3/2017: lack ofjurisdiction,rejected ,2017-11-03,lack ofjurisdiction,,,,,339.0
05d-17-r9,oakwood worldwide,2016-11-29,rejected 11/3/2017:  lack ofjurisdiction,rejected ,2017-11-03, lack ofjurisdiction,,,,,339.0
06x-17-r5,wisconsin dept. ofcorrections,2016-11-30,rejected and referred to doj8/3/2017:  lack of jurisdiction,rejected and referred to doj,2017-08-03, lack of jurisdiction,,,,doj,246.0
07r-17-r7,missouri dnr,2016-12-27,rejected 7/13/2018:  untimelyfiled,rejected ,2018-07-13, untimelyfiled,race,race,,,563.0
08r-17-r7,"kansas city, mo healthdept.",2016-12-26,administratively closed8/14/2017:  complainantwithdrew complaint,administratively closed,2017-08-14, complainantwithdrew complaint,race,race,,,231.0
09d-17-r9,"city of south laketahoe, ca",2017-02-06,rejected 12/27/2018: allegationnot grounded in fact/notappropriate forinvestigation/untimely,rejected ,2018-12-27,allegationnot grounded in fact/notappropriate forinvestigation/untimely,,,,,689.0
10d-17-r4,"city of tallahassee, fl",2017-02-07,rejected 3/1/2018: lack ofjurisdiction,rejected ,2018-03-01,lack ofjurisdiction,,,,,387.0
11d-17-r7,"city of merriam, ks",2017-03-31,rejected 11/24/2017: lack ofjurisdiction,rejected ,2017-11-24,lack ofjurisdiction,,,,,238.0
12d-17-r7,"city of overland parkfire department, ks",2017-03-31,rejected 11/24/2017: lack ofjurisdiction,rejected ,2017-11-24,lack ofjurisdiction,,,,,238.0
,,,completed and case closed12/19/2019,completed and case closed12/19/2019,2019-12-19,,,,,,
14r-17-r9,port of oakland &board of portcommissioners,2017-04-05,resolved through informalresolution agreement:7/25/2019; monitoringcompleted and case closed11/27/2019,resolved through informalresolution agreement,2019-07-25,,race,race,,,841.0
15x-17-r7,"city of merriam, ks",2017-04-11,rejected and referred4/12/2017: lack of jurisdiction,rejected and referred,2017-04-12,lack of jurisdiction,,,,,1.0
16r-17-r4,alabama departmentof environmentalmanagement(stone's throw landfill),2017-04-28,resolved 12/10/2018:preliminary findings ofinsufficient evidence ofdiscrimination,resolved ,2018-12-10,,race,race,,,591.0
17x-17-r4,"franklin correctional,nc",2017-05-01,rejected 8/11/2017: lack ofjurisdiction,rejected ,2017-08-11,lack ofjurisdiction,,,,,102.0
18x-17-r5,"village of barrington, il",2017-05-10,rejected 9/14/2017: lack ofjurisdiction – no discriminationalleged,rejected ,2017-09-14,lack ofjurisdiction – no discriminationalleged,,,,,127.0
19x-17-r7,miller county healthdept. (mo),2017-05-16,rejected 6/19/2017: lack ofjurisdiction – no discriminationalleged,rejected ,2017-06-19,lack ofjurisdiction – no discriminationalleged,,,,,34.0
20s-17-r5,marketeering group,2017-06-03,rejected/closed 6/8/2017:  lackof jurisdiction,rejected/closed ,2017-06-08, lackof jurisdiction,,,,,5.0
21x-17-r9,"redlands, ca resident",2017-07-25,rejected/closed 7/31/2017: nodiscrimination alleged,rejected/closed ,2017-07-31,nodiscrimination alleged,,,,,6.0
22d-17-r3,"franklin township,butler county, pa",2017-07-11,rejected 9/8/2017: lack ofjurisdiction,rejected ,2017-09-08,lack ofjurisdiction,,,,,59.0
23rd-17-r3,"city of norfolk, va",2017-08-16,rejected without prejudice5/17/2018:  not ripe forinvestigation,rejected without prejudice,2018-05-17, not ripe forinvestigation,race;section 504:disability,race,section 504:disability,,274.0
24rd-17-r3,norfolkredevelopment andhousing authority,2017-08-16,rejected without prejudice5/17/2018: not ripe forinvestigation,rejected without prejudice,2018-05-17,not ripe forinvestigation,racesection 504:disability,racesection 504:disability,,,274.0
01x-16-r5,village of barrington(il),2015-10-05,admin closure 2/16/2017: lackof response from complainant torequests for clarification,admin closure ,2017-02-16,lackof response from complainant torequests for clarification,,,,,500.0
02no-16-r4,ga dept of agriculture,2015-10-01,resolved through informalresolution agreement: 2/8/2017;monitoring completed and caseclosed 1/7/2020,resolved through informalresolution agreement,2020-01-07,2/8/2017;monitoring completed and caseclosed 1/7/2020,nationalorigin,nationalorigin,,,1559.0
03d-16-r2,city of rochester ny,2015-10-15,resolved through earlycomplaint resolutionagreement: 7/19/2018; caseclosed 10/9/2018,resolved through earlycomplaint resolutionagreement,2018-10-09,7/19/2018; caseclosed 10/9/2018,,,,,1090.0
04r-16-r4,"athens, ga - fluoride",2015-10-30,rejected 9/29/2017:investigation unwarranted-insufficiently grounded in fact,rejected ,2017-09-29,,race,race,,,700.0
05r-16-r4,athens-clark county(ga) - landfill,2015-11-30,"rejected 3/1/2018: insufficientinformation to determinejurisdiction, lack of responsefrom complainant to requests forclarification",rejected ,2018-03-01,"insufficientinformation to determinejurisdiction, lack of responsefrom complainant to requests forclarification",race,race,,,822.0
06d-16-r4,athens-clark county(ga) – water quality,2015-11-30,"rejected 12/1/2017: insufficientinformation to determinejurisdiction, lack of responsefrom complainant to requests forclarification, complainantreferred to region 4 to continueexisting actions re: enviro issues",rejected ,2017-12-01,enviro issues,,,,,732.0
07x-16-r10,shorewood heightsapt. (wa),2015-12-09,"rejected 4/20/2016: lack ofrecipient jurisdiction, lack ofdiscriminatory act",rejected ,2016-04-20,"lack ofrecipient jurisdiction, lack ofdiscriminatory act",,,,,133.0
09u-16-r6,tx dept. of criminaljustice,2016-01-11,"referred 7/6/2016 (doj, doi,usda): lack of jurisdiction",referred ,2016-07-06,lack of jurisdiction,,,,,177.0
10x-16-r5,unknown,2016-01-14,rejected 7/19/2016: insufficientinformation to determinejurisdiction,rejected ,2016-07-19,insufficientinformation to determinejurisdiction,,,,,187.0
11u-16-r4,duke power,2016-02-04,"rejected/referred 11/2/2017:lack of recipient status, enviroconditions referred to epa r4drinking water staff",rejected/referred ,2017-11-02,,,,,,637.0
12x-16-r5,"factory farms,brodhead, wi",2015-02-07,admin closure 7/18/2016:complaint withdrawn,admin closure ,2016-07-18,,,,,,527.0
13r-16-r4,al dem – dothanlandfill,2016-02-03,resolved and closed 3/1/2018:admin closure re: issue 1(mootness) 11/3/2016; issue 2 –insufficient evidence ofnoncompliance,resolved and closed ,2016-11-03,issue 1(mootness) 11/3/2016; issue 2 –insufficient evidence ofnoncompliance,race,race,,,274.0
14x-16-r4,not provided bycomplainant,2015-11-10,"admin closure 6/30/2016: ocrunable to open original dvdcorrespondence, lack of responsefrom complainant to follow-upnotice from ocr",admin closure ,2016-06-30,"ocrunable to open original dvdcorrespondence, lack of responsefrom complainant to follow-upnotice from ocr",,,,,233.0
15r-16-r4,"dekalb county, ga",2016-03-04,rejected 9/1/2017: lack ofdiscriminatory act,rejected ,2017-09-01,lack ofdiscriminatory act,race,race,,,546.0
16u-16-r9,sacramento air qualitymgmt district,2016-03-08,"rejected 8/29/2017: lack oftimeliness, lack of discriminatorybasis",rejected ,2017-08-29,"lack oftimeliness, lack of discriminatorybasis",,,,,539.0
17rd-16-r5,michigan deq,2016-03-08,resolved through informalresolution agreement:12/4/2019; monitoringcompleted and case closed1/5/2021,resolved through informalresolution agreement,2019-12-04,,racesection 504:disability,racesection 504:disability,,,1366.0
18rd-16-r5,"genesee county, mi",2016-03-08,resolved through informalresolution agreement:12/19/2019; in monitoring,resolved through informalresolution agreement,2019-12-19,,racesection 504:disability,racesection 504:disability,,,1381.0
20x-16-r4,not provided bycomplainant,2016-02-24,"rejected 8/31/2016: lack ofjurisdiction, referral unwarranted",rejected ,2016-08-31,"lack ofjurisdiction, referral unwarranted",,,,,189.0
21x-16-r3,not provided bycomplainant,2016-03-17,"rejected 6/7/2017: insufficientinformation to determinejurisdiction, provided contactinformation of prince george’scounty md re: noise ordinance",rejected ,2017-06-07,noise ordinance,,,,,447.0
22r-16-r4,fl dep,,rejected 3/1/2018: investigationunwarranted- insufficientlygrounded in fact,rejected ,2018-03-01,investigationunwarranted- insufficientlygrounded in fact,race,race,,,
23rno-16-r3,md dept. of envir –lead paint,2015-08-24,rejected 12/20/2016: untimelyfiled,rejected ,2016-12-20,untimelyfiled,"race,national origin",race,national origin,,484.0
24r-16-r5,"epa, region 5",2015-04-18,"rejected 6/6/2016: lack ofrecipient status, further actionreferred to epa region 5",rejected ,2016-06-06,"lack ofrecipient status, further actionreferred to epa region 5",race,race,,,415.0
25ta-16-r2,new york dec,2016-04-22,technical assistance to recipient,technical assistance to recipient,,,,,,recipient,
26r-16-r6,"city of dallas, tx",2016-04-25,rejected 9/19/2018:investigation unwarranted-insufficiently grounded in fact,rejected ,2018-09-19,,race,race,,,877.0
27r-16-r6,arkansas deq,2016-04-26,resolved through informalresolution agreement: 1/8/2021;in monitoring,resolved through informalresolution agreement,2021-01-08,1/8/2021;in monitoring,race,race,,,1718.0
28r-16-r3,md public servicecomm,2016-05-11,resolved through epa/dot jointinformal resolution agreement:1/30/2019; monitoringconducted by dot,resolved through epa/dot jointinformal resolution agreement,2019-01-30,,race,race,,,994.0
29r-16-r3,md dept. ofenvironment(brandywine),2016-05-11,resolved through epa/dot jointinformal resolution agreement:1/30/2019; monitoringcompleted and case closed12/15/2020,resolved through epa/dot jointinformal resolution agreement,2019-01-30,,race,race,,,994.0
31r-16-r4,"st. john’s county, fl",,rejected and closed 3/1/2018:investigation unwarranted-insufficiently grounded in fact,rejected and closed ,2018-03-01,,"race,retaliation",race,retaliation,,
32d-16-r9,"santa clara county, ca",2016-06-06,rejected (and referred to hhs)11/3/2017: lack of jurisdiction,rejected (and referred to hhs),,lack of jurisdiction,,,,(and referred to hhs),
33ta-16-r3,de dept of nat res andenvironmental control,2016-06-03,technical assistance,technical assistance,,,,,,,
34rno-16-r10,"yakima regional cleanair authority, wa",2016-06-11,resolved through informalresolution agreement: 8/9/2019;monitoring completed and caseclosed 8/19/2020,resolved through informalresolution agreement,2020-08-19,8/9/2019;monitoring completed and caseclosed 8/19/2020,"race,national origin",race,national origin,,1530.0
35rno-16-r10,wa dept of ecology,2016-06-11,rejected 2/11/2019: lack ofalleged covered discriminatoryact,rejected ,2019-02-11,lack ofalleged covered discriminatoryact,"race,national origin",race,national origin,,975.0
36r-16-r9,"city and county ofhonolulu, hi",2016-06-30,referred (eeoc) 2/16/2017: lackof jurisdiction,referred (eeoc) ,2017-02-16,lackof jurisdiction,race,race,,(eeoc),231.0
37r-16-r4,nc deq – pork cafo(retaliation),2016-07-11,accepted and admin closure8/2/2016: incorporated intothen-pending investigation of11r-14-r4,accepted and admin closure,2016-08-02,incorporated intothen-pending investigation of11r-14-r4,retaliation,retaliation,,,22.0
38r-16-r4,al dem – arrowheadlandfill (retaliation),2016-08-19,accepted and admin closure10/5/2016: incorporated intothen-pending investigation of12r-13-r4,accepted and admin closure,2016-10-05,incorporated intothen-pending investigation of12r-13-r4,retaliation,retaliation,,,47.0
39r-16-r9,ca dept of toxicsubstances control,2016-08-26,rejected 10/15/2018: furtherinvestigation unwarranted –issue raised in complaint resolved,rejected ,2018-10-15,furtherinvestigation unwarranted –issue raised in complaint resolved,race,race,,,780.0
