fy_rec'd,epa_file_#,summary_status,_merge,named_entity,clean_date_received,recent_status_date,time_difference,detailed_status,primary_status_map,simplified_status,compare_statuses,reason_for_rejection_if_applicable,presidential_administration,environmental_justice_issue_cited,city,state,zip_code,community_impacted,referred_agency,is_unique,filed_by_a_lawyer,group_filing,filed_on_behalf_of,epa_initiated_compliance_review,complaint_about_environmental_justice_matter,notes_on_ej_categorization,more_than_one_complaint,total_related_complaints,related_complaint_numbers,complaint_link,notes,additional_notes,disc_basis_1,disc_basis_2,related_documents,origin,final_adjudication_&_reason,disc_basis_3,disc_basis_4,disc_basis_5
fy23,06r-23-r1,active,both,"city of hartford, ct",2023-03-05,2023-06-13,100.0,pending: under jurisdictional review,pending,pending: under jurisdictional review,False,,Biden,"Black residents of Hartford’s North End ""impacted by sewage discharge and flooding in our homes due to racially discriminatory behavior by the City of Hartford and Hartford’s Metropolitan District Commission ('MDC') water utility.""",Hartford,CT,multiple,Black community,,yes,Unclear,Redacted individual,,No,Yes,,"Yes (there is a separate complaint on the matter that's also split in multiple, but I don't list those here)",2.0,"06R-23-R1, 07R-23-R1",https://www.epa.gov/system/files/documents/2023-03/06R-23-R1%20Complaint_Redacted.pdf,"""Over several months, Hartford experienced consistent rainfall that caused an extraordinary amount of precipitation that flooded our homes with water and sewage, including human waste. This flooding devastated our home. I was horrified to learn that my basement was flooded with sewage from houses throughout my neighborhood. Even when a representative from the Connecticut Department of Energy and Environmental Quality ('DEEP') and I urged MDC to act quickly to fix the flapper valve that led to the discharge, they refused to take action, and my home was flooded with an additional three feet of water. ... My basement was full of antiques, family heirlooms, and personal items that had enormous personal and familial value to me. When the water and sewage flooded the space, I lost everything. What’s more, the stagnant water in my basement worsened the air quality in my home, making it unlivable and unsafe. As a result, I have moved into a hotel for the last several months to try and preserve my health. The need to relocate is an enormous personal cost that is straining my budget well beyond its limits. ... While many residents will be impacted by this flooding and sewage backup, the impacts will be much worse for low-income families without the disposable incomes and resources to respond to these disasters. What’s more, legacies and present realities of environmental racism and housing discrimination have pushed communities of color into areas that are more likely to have weaker pipes, less responsive utility service, and fewer natural barriers to stop flooding and sewage backup. Consequently, the communities most impacted by stormwater surge, flooding, and sewer back-up tend to be communities like mine – those that are composed of people of color and low-income communities.""","EPA page on the matter: https://www.epa.gov/ct/epa-efforts-north-hartford-address-sewer-backups
https://www.courant.com/2023/03/24/epa-update-story/
https://ctmirror.org/2023/03/25/hartford-ct-sewage-flooding-water-north-end/
https://www.courant.com/2023/01/20/north-hartford-residents-say-epa-left-them-high-and-dry-over-flooding-complaints-agency-postpones-review-due-to-unanticipated-publicity/",race,,06r-23-r1 complaint (pdf) (48.25 kb),epa,,,,
fy23,07r-23-r1,active,both,the metropolitan district (mdc),2023-03-05,2023-06-13,100.0,pending: under jurisdictional review,pending,pending: under jurisdictional review,False,,Biden,"Black residents of Hartford’s North End ""impacted by sewage discharge and flooding in our homes due to racially discriminatory behavior by the City of Hartford and Hartford’s Metropolitan District Commission ('MDC') water utility.""",Hartford,CT,multiple,Black community,,no,Unclear,Redacted individual,,No,Yes,,"Yes (there is a separate complaint on the matter that's also split in multiple, but I don't list those here)",2.0,"06R-23-R1, 07R-23-R1",https://www.epa.gov/system/files/documents/2023-03/07R-23-R1%20Complaint_Redacted.pdf,"""Over several months, Hartford experienced consistent rainfall that caused an extraordinary amount of precipitation that flooded our homes with water and sewage, including human waste. This flooding devastated our home. I was horrified to learn that my basement was flooded with sewage from houses throughout my neighborhood. Even when a representative from the Connecticut Department of Energy and Environmental Quality ('DEEP') and I urged MDC to act quickly to fix the flapper valve that led to the discharge, they refused to take action, and my home was flooded with an additional three feet of water. ... My basement was full of antiques, family heirlooms, and personal items that had enormous personal and familial value to me. When the water and sewage flooded the space, I lost everything. What’s more, the stagnant water in my basement worsened the air quality in my home, making it unlivable and unsafe. As a result, I have moved into a hotel for the last several months to try and preserve my health. The need to relocate is an enormous personal cost that is straining my budget well beyond its limits. ... While many residents will be impacted by this flooding and sewage backup, the impacts will be much worse for low-income families without the disposable incomes and resources to respond to these disasters. What’s more, legacies and present realities of environmental racism and housing discrimination have pushed communities of color into areas that are more likely to have weaker pipes, less responsive utility service, and fewer natural barriers to stop flooding and sewage backup. Consequently, the communities most impacted by stormwater surge, flooding, and sewer back-up tend to be communities like mine – those that are composed of people of color and low-income communities.""","EPA page on the matter: https://www.epa.gov/ct/epa-efforts-north-hartford-address-sewer-backups
https://www.courant.com/2023/03/24/epa-update-story/
https://ctmirror.org/2023/03/25/hartford-ct-sewage-flooding-water-north-end/
https://www.courant.com/2023/01/20/north-hartford-residents-say-epa-left-them-high-and-dry-over-flooding-complaints-agency-postpones-review-due-to-unanticipated-publicity/",race,,07r-23-r1 complaint (pdf) (48.25 kb),epa,,,,
fy23,06no-23-r2,closed,both,nyc dept. of envir. protection,2023-03-02,2023-05-31,90.0,rejected 5/31/2023: lack of timely discriminatory act,rejected,rejected,True,lack of timely discriminatory act,Biden,"New York City agencies are aware and have not taken action about ""the dangers to public health due to the magico-religious uses of elemental mercury in NYCs’ Caribbean and Latino communities""",New York,NY,not listed,Caribbean and Latino communities,,yes,No,Redacted individual,,No,Unlikely,No discrimination cited; unclear on whether the process could apply to agencies not stepping in related to individual actions that endanger public health,"Yes (there are also two additional complaints in NJ, not included in the related-case column)",2.0,"06NO-23-R2, 07NO-23-R2",https://www.epa.gov/system/files/documents/2023-03/06NO-23-R2%20Complaint_Redacted.pdf,,,national origin,,06no-23-r2 complaint (pdf) (762.34 kb) 06no-23-r2 rec rejection ltr (pdf) (120.51 kb),epa,,,,
fy23,07no-23-r2,closed,both,nyc dept. of health & mental hygiene,2023-03-02,2023-05-31,90.0,rejected 5/31/2023: lack of timely discriminatory act,rejected,rejected,True,lack of timely discriminatory act,Biden,"New York City agencies are aware and have not taken action about ""the dangers to public health due to the magico-religious uses of elemental mercury in NYCs’ Caribbean and Latino communities""",New York,NY,not listed,Caribbean and Latino communities,,no,No,Redacted individual,,No,Unlikely,No discrimination cited; unclear on whether the process could apply to agencies not stepping in related to individual actions that endanger public health,"Yes (there are also two additional complaints in NJ, not included in the related-case column)",2.0,"06NO-23-R2, 07NO-23-R2",https://www.epa.gov/system/files/documents/2023-03/06NO-23-R2%20Complaint_Redacted.pdf,,,national origin,,07no-23-r2 complaint (pdf) (762.34 kb) 07no-23-r2 rec rejection ltr (pdf) (120.51 kb),epa,,,,
fy23,05rno-23-r1,active,both,ct dept. of energy & envir. protection,2023-02-28,2023-06-13,105.0,pending: under jurisdictional review,pending,pending: under jurisdictional review,False,,Biden,"Sewage overflows and lack of stormwater and flood controls affecting the North End of Hartford, which is predominently Black. Complaint mentions the state agency as well as the Metropolitan District (MDC). ""It is also evidenced that when the predominantly white West Hartford encountered sewage backup; MDC corrected the problems immediately.""",Hartford,CT,multiple,Primarily Black residents,,yes,No,Redacted individual and/or group,,No,Yes,,Yes,3.0,"02rno-23-r1, 03rno-23-r1, 05RNO-23-R1",https://www.epa.gov/system/files/documents/2023-03/05RNO-23-R1%20Complaint_Redacted.pdf,,,race, national origin,05rno-23-r1 complaint (pdf) (187.49 kb),epa,,,,
fy23,04no-23-r1,active,both,mass. eea,2023-02-24,2023-06-13,109.0,pending: under jurisdictional review,pending,pending: under jurisdictional review,False,,Biden,"State approved a waste management facility expansion, allowing the company ""to go months without conducting any community outreach, providing little to no interpretation services, and effectively withholding information from LEP speakers by failing to provide copies of key documents translated into the community members’ languages.""",New Bedford,MA,not listed; site is at 02745,Low English proficiency residents,,yes,Yes,South Coast Neighbors United; Conservation Law Foundation,,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2023-03/04NO-23-R1%20Complaint_Redacted%20%28Complaint%20Only%29.pdf,Unredacted complaint: https://www.clf.org/wp-content/uploads/2023/02/CLF-SCNU-Title-VI-Complaint-EEAMEPA-2.24.23.pdf. Press release: https://www.clf.org/newsroom/clf-community-challenge-expanded-waste-facility-in-new-bedford/,,national origin,,04no-23-r1 complaint (pdf) (535.31 kb) exhibits pending,epa,,,,
fy23,02x-23-r4,closed,both,northwest correctional complex (tenn.),2023-02-22,2023-03-08,14.0,rejected and referred to doj 3/8/2023: lack of jurisdiction,rejected and referred,rejected and referred,True,Lack of jurisdiction,Biden,"None. Complainant said they were told, ""go back inside, because you do not deserve fresh air.""",Tiptonville,TN,38079,Inmate,doj ,yes,No,Redacted individual,,No,No,Not an environmental complaint. It's about access to the outdoors.,,1.0,,https://www.epa.gov/system/files/documents/2023-03/02X-23-R4%20Correspondence_Redacted.pdf,"Noteworthy: Complainant said a prison staffer with the title of captain, replying to a comment about the Clean Air Act, said, ""The E.P.A. do not run nothing down here.""",,,,02x-23-r4 correspondence (pdf) (1.93 mb) 02x-23-r4 doj referral (pdf) (208.91 kb) 02x-23-r4 rec reject-referral (pdf) (198.2 kb),epa,,,,
fy23,04no-23-r2,closed,both,nj dept. of envir. protection,2023-02-16,2023-05-31,104.0,rejected 5/31/2023: lack of timely discriminatory act,rejected,rejected,True,lack of timely discriminatory act,Biden,"New Jersey agencies are aware and have not taken action about the dangers to public health due to ""magico-religious mercury exposure""",Unclear,NJ,not listed,Caribbean and Latino communities,,yes,No,Redacted individual,,No,Unlikely,No discrimination cited; unclear on whether the process could apply to agencies not stepping in related to individual actions that endanger public health,"Yes (there are also two additional complaints in NY, not included in the related-case column)",2.0,"04NO-23-R2, 05NO-23-R2",epa.gov/system/files/documents/2023-02/04NO-23-R2%20Complaint_Redacted.pdf,,,national origin,,04no-23-r2 complaint (pdf) (1.84 mb) 04no-23-r2 rec rejection ltr (pdf) (118 kb),epa,,,,
fy23,05no-23-r2,closed,both,nj dept. of health,2023-02-16,2023-05-31,104.0,rejected 5/31/2023: lack of timely discriminatory act,rejected,rejected,True,lack of timely discriminatory act,Biden,"New Jersey agencies are aware and have not taken action about the dangers to public health due to ""magico-religious mercury exposure""",Unclear,NJ,not listed,Caribbean and Latino communities,,no,No,Redacted individual,,No,Unlikely,No discrimination cited; unclear on whether the process could apply to agencies not stepping in related to individual actions that endanger public health,"Yes (there are also two additional complaints in NY, not included in the related-case column)",2.0,"04NO-23-R2, 05NO-23-R2",https://www.epa.gov/system/files/documents/2023-02/05NO-23-R2%20Complaint_Redacted.pdf,,,national origin,,05no-23-r2 complaint (pdf) (1.84 mb) 05no-23-r2 rec rejection ltr (pdf) (118 kb),epa,,,,
fy23,01no-23-r10,active,both,yakima regional clean air agency,2023-02-06,2023-06-13,127.0,pending: under jurisdictional review,pending,pending: under jurisdictional review,False,,Biden,"Request to reopen a prior case: 34RNO-16-R10. Agency doesn't provide information to the limited English proficiency community needed to participate in policy decisions and other activities, despite signing an informal agreement with the EPA in 2019 to take certain actions related to the LEP community. The agency also takes air samples and investigates complaints in the more affluent English-speaking part of the county but not the LEP part",South Yakama County,WA,not listed,"Low English proficiency residents, Latino residents",,yes,,Friends of Toppenish Creek,,No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2023-03/01NO-23-R10%20Complaint%201_Redacted.pdf,"""In 2022 neighbors of two limited use landfills located in a section of Northern Yakima County with few LEP resident, complained to the YRCAA and other agencies about air emissions from the landfills. The agencies met with the people and set up fenceline air monitoring to evaluate the problem – as they should.33, 34, 35, 36 People who live in South Yakima County have complained about emissions from CAFO dairies for decades and have been routinely ignored""",,national origin,,01no-23-r10 complaint 1 (pdf) (585.83 kb) 01no-23-r10 complaint 2 (pdf) (555.27 kb),epa,,,,
fy23,06x-23-r6,closed,both,coffield unit (texas dept. of criminal justice),2023-01-19,2023-01-26,7.0,rejected and referred to doj 1/26/2023: lack of jurisdiction,rejected and referred,rejected and referred,True,Lack of jurisdiction,Biden,"Complainant says they're experiencing ""racial issues"" at a prison, experiencing violations of a right to safety. No environmental issues cited.",Tennessee Colony,TX,75861,Inmates,doj ,yes,No,,,No,No,No environmental issues noted in the complaint,,1.0,,https://www.epa.gov/system/files/documents/2023-02/06X-23-R6%20Complaint_Redacted.pdf,No environmental issues noted in the complaint,,,,06x-23-r6 correspondence (pdf) (1.08 mb) 06x-23-r6 rec reject-referral (pdf) (198.76 kb) 06x-23-r6 doj referral ltr (pdf) (209.2 kb),epa,,,,
fy23,02rno-23-r1,active,both,"city of hartford, ct",2023-01-18,2023-06-13,146.0,pending: under jurisdictional review,pending,pending: under jurisdictional review,False,,Biden,"Sewage and waste overflow, Toxic Flooding",Hartford,CT,06120,Black & Latino residents ,,yes,No,Redacted individual (might be Bridgitte Prince),,No,Yes,,"Yes (there is a separate complaint on the matter that's also split in multiple, but I don't list those here)",3.0,"02rno-23-r1, 03rno-23-r1, 05RNO-23-R1",epa.gov/system/files/documents/2023-02/02RNO-23-R1%20Complaint_Redacted.pdf,https://www.ctpublic.org/news/2023-01-27/epa-says-they-are-inspecting-the-metropolitan-district-due-to-flooding-and-sewage-issues-in-hartford,,race, national origin,02rno-23-r1 complaint (pdf) (469.93 kb),epa,,,,
fy23,03rno-23-r3,active,both,the metropolitan district (mdc),2023-01-18,2023-06-13,146.0,pending: under jurisdictional review,pending,pending: under jurisdictional review,False,,Biden,Proposal for methane gas production plant and refinery in a disproportionately impacted EJ community,Seaford,DE,19973,"Black & Latino residents, limited English proficeny ",,no,Yes,Socially Responsible Agriculture Project; Sussex Health and Environmental Network; American Civil Liberties Union of Delaware; Delaware Poor People’s Campaign; Delaware State Conference of Branches of the National Association for the Advancement of Colored People,,No,Yes,,,2.0,"03rno-23-r3, 02rno-23-r3",https://www.epa.gov/system/files/documents/2023-01/03RNO-23-R3%20Complaint_Redacted.pdf,Unredacted complaint: https://drive.google.com/file/d/14GT7nw5Nk44OVnx55a-rUh51XjnaDwju/view,,race, national origin,03rno-23-r1 complaint (pdf) (469.93 kb),epa,,,,
fy23,03rno-23-r3,active,both,"sussex county, de",2022-12-22,2023-06-13,173.0,pending: under jurisdictional review,pending,pending: under jurisdictional review,False,,Biden,Proposal for methane gas production plant and refinery in a disproportionately impacted EJ community,Seaford,DE,19973,"Black & Latino residents, limited English proficeny ",,no,Yes,Socially Responsible Agriculture Project; Sussex Health and Environmental Network; American Civil Liberties Union of Delaware; Delaware Poor People’s Campaign; Delaware State Conference of Branches of the National Association for the Advancement of Colored People,,No,Yes,,,2.0,"03rno-23-r3, 02rno-23-r3",https://www.epa.gov/system/files/documents/2023-01/03RNO-23-R3%20Complaint_Redacted.pdf,Unredacted complaint: https://drive.google.com/file/d/14GT7nw5Nk44OVnx55a-rUh51XjnaDwju/view,,race, national origin,03rno-23-r3 complaint (pdf) (2.66 mb),epa,,,,
fy23,02x-23-r9,closed,both,california training facility (calif. dept. of corrections & rehab.),2023-01-18,2023-01-26,8.0,rejected and referred to doj 1/26/2023: lack of jurisdiction,rejected and referred,rejected and referred,True,Lack of jurisdiction,Biden,Concerns about economic opportunities/challenges after exiting prison,Soledad,CA,93960,Inmates,doj ,yes,No,,,No,No,No environmental issues noted in the complaint,,1.0,,https://www.epa.gov/system/files/documents/2023-02/02X-23-R9%20Correspondence_Redacted.pdf,The complaint did not include any environmental issues. It was focused on economic concerns post-sentence.,,,,02x-23-r9 correspondence (pdf) (2.34 mb) 02x-23-r9 rec reject-referral (pdf) (199.28 kb) 02x-23-r9 doj referral (pdf) (199.44 kb),epa,,,,
fy23,01r-23-r4,active,both,"ga dept. of natural resources, envir. protection div.",2023-01-04,2023-06-13,160.0,pending: under jurisdictional review,pending,pending: under jurisdictional review,False,,Biden,Wood pellet mills approved to be built in disproportionately impacted EJ community,Adel,GA,31620,Black & Latino residents ,,yes,Yes,Southern Environmental Law Center,Concerned Citizens of Cook County (per news reports),No,Yes,,,1.0,,https://www.epa.gov/system/files/documents/2023-01/01R-23-R4%20Complaint_Redacted.pdf,Article on complaint: https://www.delawareonline.com/story/news/2023/02/13/environmental-justice-complaint-filed-against-dnrec-and-sussex-county/69840808007/,,race,,01r-23-r4 complaint (pdf) (1.54 mb),epa,,,,
