fy_rec'd,summary_status,epa_file_#,named_entity,clean_date_received,detailed_status,primary_status,primary_status_map,secondary_status,recent_status_date,referred_agency,disc_basis_1,disc_basis_2,time_difference,related_documents
fy23,active,06r-23-r1,"city of hartford, ct",2023-03-05,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race,,100,06r-23-r1 complaint (pdf) (48.25 kb)
fy23,active,07r-23-r1,the metropolitan district (mdc),2023-03-05,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race,,100,07r-23-r1 complaint (pdf) (48.25 kb)
fy23,closed,06no-23-r2,nyc dept. of envir. protection,2023-03-02,rejected 5/31/2023: lack of timely discriminatory act,rejected,rejected,lack of timely discriminatory act,2023-05-31,,national origin,,90,06no-23-r2 complaint (pdf) (762.34 kb) 06no-23-r2 rec rejection ltr (pdf) (120.51 kb)
fy23,closed,07no-23-r2,nyc dept. of health & mental hygiene,2023-03-02,rejected 5/31/2023: lack of timely discriminatory act,rejected,rejected,lack of timely discriminatory act,2023-05-31,,national origin,,90,07no-23-r2 complaint (pdf) (762.34 kb) 07no-23-r2 rec rejection ltr (pdf) (120.51 kb)
fy23,active,05rno-23-r1,ct dept. of energy & envir. protection,2023-02-28,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race, national origin,105,05rno-23-r1 complaint (pdf) (187.49 kb)
fy23,active,04no-23-r1,mass. eea,2023-02-24,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,national origin,,109,04no-23-r1 complaint (pdf) (535.31 kb) exhibits pending
fy23,closed,02x-23-r4,northwest correctional complex (tenn.),2023-02-22,rejected and referred to doj 3/8/2023: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2023-03-08,doj ,,,14,02x-23-r4 correspondence (pdf) (1.93 mb) 02x-23-r4 doj referral (pdf) (208.91 kb) 02x-23-r4 rec reject-referral (pdf) (198.2 kb)
fy23,closed,04no-23-r2,nj dept. of envir. protection,2023-02-16,rejected 5/31/2023: lack of timely discriminatory act,rejected,rejected,lack of timely discriminatory act,2023-05-31,,national origin,,104,04no-23-r2 complaint (pdf) (1.84 mb) 04no-23-r2 rec rejection ltr (pdf) (118 kb)
fy23,closed,05no-23-r2,nj dept. of health,2023-02-16,rejected 5/31/2023: lack of timely discriminatory act,rejected,rejected,lack of timely discriminatory act,2023-05-31,,national origin,,104,05no-23-r2 complaint (pdf) (1.84 mb) 05no-23-r2 rec rejection ltr (pdf) (118 kb)
fy23,active,01no-23-r10,yakima regional clean air agency,2023-02-06,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,national origin,,127,01no-23-r10 complaint 1 (pdf) (585.83 kb) 01no-23-r10 complaint 2 (pdf) (555.27 kb)
fy23,closed,06x-23-r6,coffield unit (texas dept. of criminal justice),2023-01-19,rejected and referred to doj 1/26/2023: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2023-01-26,doj ,,,7,06x-23-r6 correspondence (pdf) (1.08 mb) 06x-23-r6 rec reject-referral (pdf) (198.76 kb) 06x-23-r6 doj referral ltr (pdf) (209.2 kb)
fy23,active,02rno-23-r1,"city of hartford, ct",2023-01-18,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race, national origin,146,02rno-23-r1 complaint (pdf) (469.93 kb)
fy23,active,03rno-23-r3,the metropolitan district (mdc),2023-01-18,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race, national origin,146,03rno-23-r1 complaint (pdf) (469.93 kb)
fy23,closed,02x-23-r9,california training facility (calif. dept. of corrections & rehab.),2023-01-18,rejected and referred to doj 1/26/2023: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2023-01-26,doj ,,,8,02x-23-r9 correspondence (pdf) (2.34 mb) 02x-23-r9 rec reject-referral (pdf) (199.28 kb) 02x-23-r9 doj referral (pdf) (199.44 kb)
fy23,active,01r-23-r4,"ga dept. of natural resources, envir. protection div.",2023-01-04,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race,,160,01r-23-r4 complaint (pdf) (1.54 mb)
fy23,active,02rno-23-r3,delaware dept. of natural resources & envir. control,2022-12-22,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race, national origin,173,02rno-23-r3 complaint (pdf) (2.66 mb)
fy23,active,03rno-23-r3,"sussex county, de",2022-12-22,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race, national origin,173,03rno-23-r3 complaint (pdf) (2.66 mb)
fy23,active,02r-23-r6,louisiana deq (town of mansura),2022-12-16,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race,,179,02r-23-r6 complaint (pdf) (307.67 kb)
fy23,active,01rno-23-r9,california state water resources control board,2022-12-16,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race, national origin,179,01rno-23-r9 complaint and exhibit index (pdf) (5.62 mb) 01rno-23-r9 complaint support ltr (pdf) (327.01 kb)
fy23,closed,01rno-23-r1,city of malden (ma),2022-12-14,rejected and referred to hud 2/23/2023: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2023-02-23,hud ,race, national origin,71,01no-23-r1 complaint (pdf) (310.33 kb) 01rno-23-r1 rec reject-referral (pdf) (202.34 kb) 01rno-23-r1 hud referral (pdf) (118.38 kb)
fy23,closed,04x-23-r5,"carroll county, il sheriff dept.",2022-11-27,"rejected 12/6/2022: lack of discriminatory act, lack of timeliness",rejected,rejected,"lack of discriminatory act, lack of timeliness",2022-12-06,,,,9,04x-23-r5 correspondence (pdf) (100.13 kb) 04x-23-r5 correspondence response (pdf) (85.86 kb)
fy23,active,05no-23-r6,texas comm. on envir. quality,2022-11-16,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,national origin,,209,05no-23-r6 complaint (pdf) (166.46 kb)
fy23,closed,03x-23-r6,caddo corr. center (louisiana),2022-11-08,rejected and referred to doj 11/9/2022: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2022-11-09,doj ,,,1,03x-23-r6 complaint (pdf) (1.55 mb) 03x-23-r6 doj referral (pdf) (210.56 kb) 03x-22-r6 rec reject-referral (pdf) (228.06 kb)
fy23,closed,03x-23-r5,kinross corr. facility (michigan),2022-11-02,rejected and referred to doj 11/8/2022: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2022-11-08,doj ,,,6,03x-23-r5 complaint (pdf) (1.76 mb) 03x-23-r5 doj referral (pdf) (127.61 kb) 03x-23-r5 rec reject-referral (pdf) (133.35 kb) 03x-23-r5 complaint 2 (pdf) (2.95 mb) 03x-23-r5 complaint 3 (pdf) (3.26 mb)
fy23,closed,02rno-23-r5,illinois epa,2022-10-31,rejected/admin. closure 1/5/2023: anonymous complaint,rejected/admin. closure,rejected,anonymous complaint,2023-01-05,,race, national origin,66,02rno-23-r5 complaint (pdf) (120.93 kb) 02rno-23-r5 rec rejection (pdf) (183.43 kb)
fy23,closed,01r-23-r6,"city of corpus christi, tx",2022-10-26,rejected w/o prejudice in light of pending hud investigation: 3/22/2023,rejected,rejected,,2023-03-22,hud,race,,147,01r-23-r6 complaint and exhibits (pdf) (47.74 mb) 01r-23-r6 rec rejection ltr (pdf) (208.89 kb)
fy23,active,01r-23-r3,city of baltimore dept. of public works,2022-10-24,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race,,232,01r-23-r3 complaint (pdf) (1.49 mb)
fy23,closed,01rno-23-r5,indiana dept. of envir. mgmt.,2022-10-21,rejected w/o prejudice - pending in-state petitions: 1/26/2023,rejected,rejected,,2023-01-26,,race, national origin,97,01rno-23-r5 complaint (pdf) (56.98 kb) 01rno-23-r5 rec rejection ltr (pdf) (232.72 kb)
fy22,active,06r-22-r4,mississippi dept. of health,2022-09-27,pending: under investigation,pending,pending,under investigation,2023-06-13,,race,,259,06r-22-r4 complaint (pdf) (1.85 mb) 06r-22-r4 exhibits (pdf) (13.71 mb) 06r-22-r4 declaration (pdf) (286.19 kb) 06r-22-r4 rec acceptance (pdf) (225.59 kb)
fy22,active,07r-22-r4,mississippi dept. of envir. quality,2022-09-27,pending: under investigation,pending,pending,under investigation,2023-06-13,,race,,259,07r-22-r4 complaint (pdf) (1.85 mb) 07r-22-r4 exhibits (pdf) (13.71 mb) 07r-22-r4 declaration (pdf) (286.19 kb) 07r-22-r4 rec acceptance (pdf) (225.59 kb)
fy22,closed,08r-22-r4,mississippi dept. of finance and administration,2022-09-27,rejected 10/20/2022: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2022-10-20,,race,,23,08r-22-r4 complaint (pdf) (1.85 mb) 08r-22-r4 exhibits (pdf) (13.71 mb) 08r-22-r4 declaration (pdf) (286.19 kb) 08r-22-r4 rec reject (pdf) (225.59 kb)
fy22,closed,07x-22-r6,caddo correctional center (louisiana),2022-08-23,rejected and referred to doj 10/3/2022: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2022-10-03,doj ,,,41,07x-22-r6 complaint (pdf) (3.37 mb) 07x-22-r6 rec reject-referral (pdf) (231.47 kb) 07x-22-r6 doj referral (pdf) (144.16 kb)
fy22,closed,02x-22-r8,wyoming women's correctional center,2022-08-23,rejected and referred to doj 10/3/2022: lack of jurisdiction,rejected and referred,rejected and referred,lack of jurisdiction,2022-10-03,doj ,,,41,02x-22-r8 complaint (pdf) (1.23 mb) 02x-22-r8 rec reject-referral (pdf) (231.58 kb)
fy22,closed,01rno-22-r7,missouri dnr,2022-08-10,rejected and referred to hhs 1/4/2023: lack of jurisdiction (permit in question not issued by missouri dnr),rejected and referred,rejected and referred,lack of jurisdiction (permit in question not issued by missouri dnr),2023-01-04,hhs ,race, national origin,147,01rno-22-r7 complaint (pdf) (1.72 mb) 01rno-22-r7 rejection rec (pdf) (179.6 kb) 01rno-22-r7 rejection rec (spanish) (pdf) (180.67 kb) 01rno-22-r7 referral hhs (pdf) (227.04 kb)
fy22,closed,02rr-22-r9,cnmi small business administration step program,2022-08-04,rejected 10/3/2022: lack of jurisdiction; complaint concurrently filed with sba,rejected,rejected,lack of jurisdiction; complaint concurrently filed with sba,2022-10-03,,race,,60,02rr-22-r9 complaint cover email (pdf) (111.98 kb) 02rr-22-r9 complaint (pdf) (142.77 kb) 02rr-22-r9 complaint att 1 (pdf) (83.2 kb) 02rr-22-r9 complaint att 2 (pdf) (152.98 kb) 02rr-22-r9 complaint att 3 (pdf) (828.21 kb) 02rr-22-r9 rejection rec (pdf) (230.51 kb)
fy22,closed,07rr-22-r5,miami valley regional planning comm. (oh),2022-07-27,rejected 10/3/2022: lack of jurisdiction; complaint concurrently filed with eeoc,rejected,rejected,lack of jurisdiction; complaint concurrently filed with eeoc,2022-10-03,,race, retaliation,68,07rr-22-r5 complaint (pdf) (457.35 kb) 07rr-22-r5 rejection rec (pdf) (232.14 kb)
fy22,active,05r-22-r3,d.c. dept. of energy & envir.,2022-05-25,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race,,384,05r-22-r3 complaint (pdf) (54.52 mb)
fy22,active,06r-22-r3,d.c. office of the mayor,2022-05-25,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race,,384,06r-22-r3 complaint (pdf) (54.52 mb)
fy22,active,07r-22-r3,d.c. dept. of general services,2022-05-25,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race,,384,07r-22-r3 complaint (pdf) (54.52 mb)
fy22,active,08r-22-r3,d.c. office of state superintendent of education,2022-05-25,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race,,384,08r-22-r3 complaint (pdf) (54.52 mb)
fy22,active,06rno-22-r6,texas comm. on envir. quality (concrete plant),2022-05-17,pending: in informal resolution negotiation,pending,pending,in informal resolution negotiation,2023-06-13,,race, national origin,392,06rno-22-r6 complaint (pdf) (614.14 kb) 06rno-22-r6 rec acceptance (pdf) (123.93 kb) 06rno-22-r6 rec tolling ltr (pdf) (226.8 kb)
fy22,active,05rno-22-r6,texas comm. on envir. quality (harris county),2022-04-05,pending: in informal resolution negotiation,pending,pending,in informal resolution negotiation,2023-06-13,,race, national origin,434,05rno-22-r6 complaint (pdf) (4.88 mb) 05rno-22-r6 rec acceptance (pdf) (123.93 kb) 05rno-22-r6 rec tolling ltr (pdf) (226.8 kb)
fy22,active,05rno-22-r4,florida dept. of envir. protection,2022-03-31,pending: under investigation,pending,pending,under investigation,2023-06-13,,race, national origin,439,05rno-22-r4 complaint (pdf) (1.24 mb) 05rno-22-r4 complaint supplement (pdf) (904.15 kb) 05rno-22-r4 rec acceptance ltr (pdf) (218.16 kb)
fy22,active,05r-22-r5,wisconsin dnr,2022-03-23,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race,,447,05r-22-r5 complaint (pdf) (1.23 mb)
fy22,active,06r-22-r5,madison metro sewerage dist (wi),2022-03-23,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,race,,447,06r-22-r5 complaint (pdf) (1.23 mb)
fy22,active,01cr-22-r8,colorado dept. of public health and envir.,2022-03-18,pending: compliance review investigation initiated,pending,pending,compliance review investigation initiated,2023-06-13,,race, national origin,452,01cr-22-r8 compliance review initiation- english (pdf) (156.02 kb) 01cr-22-r8 compliance review initiation- spanish (pdf) (93.71 kb) cdphe compliance review second letter - english (pdf) (185.35 kb) cdphe compliance review second letter - spanish (pdf) (187.04 kb)
fy22,active,04rda-22-r4,north carolina deq (burlington north facility),2022-03-17,pending: under jurisdictional review,pending,pending,under jurisdictional review,2023-06-13,,disability, age disability,453,04rda-22-r4 complaint (pdf) (351.95 kb)
fy22,active,02r-22-r1,massachusetts dep,2022-02-17,pending: in informal resolution negotiation,pending,pending,in informal resolution negotiation,2023-06-13,,race,,481,02r-22-r1 complaint (pdf) (2.05 mb) 02r-22-r1 acceptance ltr (pdf) (167.25 kb) 02r-22-r1 rec tolling ltr (pdf) (188.21 kb)
fy22,active,04r-22-r6,louisiana dept. of envir. quality (st. james parish),2022-02-02,pending: in informal resolution negotiation,pending,pending,in informal resolution negotiation,2023-06-13,,race,,496,"04r-22-r6 complaint (pdf) (7.65 mb) 04r-22-r6 acceptance rec (pdf) (150.42 kb) 2022 10 12 ldeq ldh 01r-22-r6, 02r-22-r6, 04r-22-r6 letter (pdf) (1017.92 kb)"
fy22,closed,03r-22-r6,city of houston,2022-01-28,rejected without prejudice 8/4/2022: complaint accepted for investigation by u.s. doj,rejected,rejected,complaint accepted for investigation by u.s. doj,2022-08-04,,race,,188,03r-22-r6 complaint (pdf) (7.26 mb) 03r-22-r6 rec rejection (pdf) (114.47 kb)
fy22,active,03r-22-r4,georgia dnr (envir. protection div.),2022-01-24,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,race,,505,03r-22-r4 complaint (pdf) (210.6 kb) 03r-22-r4 complaint amendment (pdf) (104.76 kb) 03r-22-r4 acceptance rec (pdf) (126.76 kb) 03r-22-r4 tolling ltr rec (pdf) (227.85 kb)
fy22,active,01r-22-r6,louisiana dept. of envir. quality (st. john the baptist parish),2022-01-20,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,race,,509,"01r-22-r6 complaint (pdf) (2.65 mb) 01r-22-r6 acceptance rec (pdf) (150.42 kb) 2022 10 12 ldeq ldh 01r-22-r6, 02r-22-r6, 04r-22-r6 letter (pdf) (1017.92 kb)"
fy22,active,02r-22-r6,louisiana dept. of health,2022-01-20,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,race,,509,"02r-22-r6 complaint (pdf) (2.65 mb) 02r-22-r6 acceptance rec (pdf) (143.06 kb) 2022 10 12 ldeq ldh 01r-22-r6, 02r-22-r6, 04r-22-r6 letter (pdf) (1017.92 kb)"
fy22,closed,04rno-22-r5,city of chicago (dept. of health),2022-01-11,rejected w/o prejudice in light of pending hud investigation: 4/26/2022,rejected,rejected,,2022-04-26,hud,race, national origin,105,04rno-22-r5 complaint (pdf) (212.52 kb) 04rno-22-r5 rec reject without prejudice ltr (pdf) (117.25 kb)
fy22,closed,01no-22-r10,puget sound clean air agency (wa),2022-01-11,rejected w/o prejudice - pending litigation: 1/4/2023,rejected,rejected,,2023-01-04,,national origin,,358,01no-22-r10 complaint (pdf) (3.44 mb) 01no-22-r10 rec rejection ltr (pdf) (184.99 kb) 01no-22-r10 amended rejection ltr (pdf) (186.01 kb)
fy22,active,01rno-22-r1,providence water supply board (ri),2022-01-05,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,race, national origin,524,01rno-22-r1 complaint (pdf) (1.5 mb) 01rno-22-r1 acceptance rec (pdf) (142.58 kb) 01rno-22-r1 tolling ltr rec (pdf) (110.54 kb)
fy22,closed,03drr-22-r5,michigan egle – (flint ii),2021-12-31,admin closure 12/14/2022: complaint withdrawn,admin closure,,complaint withdrawn,2022-12-14,,disability,,348,03drr-22-r5 complaint (pdf) (1.07 mb) 03drr-22-r5 acceptance rec (pdf) (119 kb) 03drr-22-r5 retaliation ltr egle (pdf) (109.63 kb) 03drr-22-r5 tolling ltr rec (pdf) (115.09 kb) 03drr-22-r5 withdrawal ltr rec (pdf) (404.5 kb)
fy22,closed,01dar-22-r3,pa dept. of health (wyoming county),2021-12-20,rejected/referred to hhs 4/8/2023: lack of jurisdiction,rejected/referred,rejected and referred,lack of jurisdiction,2023-04-08,hhs ,retaliation,,474,01dar-22-r3 complaint (pdf) (145.31 kb) hhs referral ltr 01dar-22-r3 (pdf) (218.46 kb) 01dar-22-r3 rec reject-referral (pdf) (178.03 kb)
fy22,closed,02dar-22-r3,pa dep (wyoming county),2021-12-20,rejected 4/10/2023: untimely filing of complaint,rejected,rejected,untimely filing of complaint,2023-04-10,,retaliation,,476,02dar-22-r3 complaint (pdf) (690.35 kb) 02dar-22-r3 rec rejection (pdf) (195.91 kb)
fy22,closed,03dr-22-r3,pa doh (susquehanna county),2021-12-20,rejected/referred to hhs 4/8/2023: lack of jurisdiction,rejected/referred,rejected and referred,lack of jurisdiction,2023-04-08,hhs ,retaliation,,474,03dr-22-r3 complaint (pdf) (169.08 kb) hhs referral ltr 03dr-22-r3 (pdf) (218.46 kb) 03dr-22-r3 rec reject-referral (pdf) (178.03 kb)
fy22,closed,04dr-22-r3,pa dep (susquehanna county),2021-12-20,rejected 4/10/2023: untimely filing of complaint,rejected,rejected,untimely filing of complaint,2023-04-10,,retaliation,,476,04dr-22-r3 complaint (pdf) (161.69 kb) 04dr-22-r3 rec rejection (pdf) (195.91 kb)
fy22,active,01rno-22-r9,pima county (az) deq,2021-12-19,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,race, national origin,541,01rno-22-r9 complaint (pdf) (2.67 mb) 01rno-22-r9 acceptance rec (pdf) (126.04 kb) 01rno-22-r9 rec tolling ltr (pdf) (225.22 kb)
fy22,closed,01d-22-r2,puerto rico asa,2021-11-18,rejected/referred to eeoc 3/31/2022: lack of jurisdiction,rejected/referred,rejected and referred,lack of jurisdiction,2022-03-31,eeoc ,disability,,133,01d-22-r2 complaint (pdf) (63.1 kb) 01d-22-r2 rec reject-referral (pdf) (107.45 kb) 01d-22-r2 eeoc referral (pdf) (106.94 kb)
fy22,active,01rno-22-r5,michigan egle (flint i),2021-11-08,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,race, national origin,582,01rno-22-r5 complaint (pdf) (376.87 kb) 01rno-22-r5 acceptance rec (pdf) (119 kb) 01rno-22-r5 tolling ltr rec (pdf) (115.09 kb)
fy22,active,02rno-22-r5,michigan egle (detroit),2021-11-08,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,race, national origin,582,02rno-22-r5 complaint (pdf) (2.55 mb) 02rno-22-r5 rec acceptance (pdf) (138.98 kb) 02rno-22-r5 tolling ltr rec (pdf) (115.09 kb)
fy22,closed,01r-22-r4,"city of conyers, ga",2021-10-14,rejected/referred to hud 7/6/2022: lack of jurisdiction,rejected/referred,rejected and referred,lack of jurisdiction,2022-07-06,hud ,race,,265,01r-22-r4 complaint (pdf) (210.6 kb) 01r-22-r4 rec reject-referral (pdf) (125.19 kb) 01r-22-r4 reject-referral hud (pdf) (102.72 kb)
fy22,active,02r-22-r4,"rockdale county, ga",2021-10-14,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,race,,607,02r-22-r4 complaint (pdf) (210.6 kb) 02r-22-r4 acceptance rec (pdf) (125.1 kb) 02r-22-r4 rec tolling ltr (pdf) (228.11 kb)
fy21,active,05rno-21-r4,north carolina dept. of envir. quality,2021-09-27,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,race, national origin,624,05rno-21-r4 complaint (pdf) (761.71 kb) 05rno-21-r4 complaint supplement (pdf) (493.84 kb)
fy21,active,03no-21-r6,new mexico envir. dept.,2021-09-16,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,national origin,,635,03no-21-r6 complaint (pdf) (54.11 kb)
fy21,closed,03r-21-r5,kalamazoo county,2021-09-01,rejected 11/24/2021: untimely filed,rejected,rejected,untimely filed,2021-11-24,,race,,84,03r-21-r5 complaint (pdf) (61.92 kb)
fy21,active,04r-21-r5,michigan egle (kalamazoo),2021-09-01,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,race,,650,04r-21-r5 complaint (pdf) (61.92 kb)
fy21,active,02rno-21-r2,new york state dept. of envir. conservation,2021-08-30,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,race, national origin,652,02rno-21-r2 complaint (pdf) (15.51 mb)
fy21,closed,03rno-21-r2,new york dept. of public service,2021-08-30,"not accepted for investigation 10/21/2021: lack of jurisdiction (accepted by dot; dot, epa, dec and dps are coordinating on informal resolution agreement negotiation",not accepted for investigation,rejected,"lack of jurisdiction (accepted by dot; dot, epa, dec and dps are coordinating on informal resolution agreement negotiation",2021-10-21,,race, national origin,52,03rno-21-r2 complaint (pdf) (15.51 mb)
fy21,closed,04rno-21-r2,national grid,2021-08-30,"not accepted for investigation 10/21/2021: lack of jurisdiction (coordinating with doj, dot, doe)",not accepted for investigation,rejected,"lack of jurisdiction (coordinating with doj, dot, doe)",2021-10-21,,race, national origin,52,04rno-21-r2 complaint (pdf) (15.51 mb)
fy21,active,02r-21-r6,texas comm. on envir. quality,2021-08-18,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,race,,664,02r-21-r6 complaint (pdf) (4.27 mb)
fy21,active,03r-21-r3,virginia dept. of envir. quality,2021-07-21,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,race,,692,03r-21-r3 complaint (pdf) (67.38 kb) 03r-21-r3 complaint attachment (pdf) (225.37 kb)
fy21,closed,04r-21-r3,"hanover county, va",2021-07-21,rejected 8/12/2021: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2021-08-12,,race,,22,04r-21-r3 complaint (pdf) (67.38 kb) 04r-21-r3 complaint attachment (pdf) (225.37 kb)
fy21,closed,01ds-21-r2,"borough of sayreville, nj",2021-06-29,rejected 7/23/2021: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2021-07-23,,disability, sex,24,01x-21-r2 complaint (pdf) (174.81 kb)
fy21,closed,02d-21-r3,maryland dept. of environment,2021-06-01,rejected 7/28/2021: untimely filed/same complaint pending with eeoc,rejected,rejected,untimely filed/same complaint pending with eeoc,2023-06-13,,disability, employment,742,02d-21-r3 complaint (pdf) (64.09 kb)
fy21,closed,01rno-21-r6,texas dept. of transportation,2021-05-28,"rejected 6/24/2021: same complaint pending with lead agency, u.s. dot",rejected,rejected,"same complaint pending with lead agency, u.s. dot",2021-06-24,,race, national origin,27,01rno-21-r6 complaint (pdf) (131.35 kb) 01rno-21-r6 reject rec (pdf) (110.6 kb)
fy21,active,02r-21-r5,upper miss. river basin association,2021-05-28,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,race,,746,02r-21-r5 complaint (pdf) (69.05 kb)
fy21,closed,04x-21-r4,south carolina agencies,2021-05-25,rejected 7/7/2021: lack of information/complainant non-responsive,rejected,rejected,lack of information/complainant non-responsive,2023-06-13,,,,749,04x-21-r4 complaint (pdf) (8.07 mb)
fy21,active,03r-21-r4,tenn. dept. of envir. and conservation,2021-05-21,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,race,,753,03r-21-r4 complaint (pdf) (2.22 mb)
fy21,closed,02ad-21-r4,epa region 4,2021-03-26,rejected 4/30/2021: lack of jurisdiction,rejected,rejected,lack of jurisdiction,2021-04-30,,disability, age,35,02ad-21-r4 complaint (pdf) (791.14 kb)
fy21,active,02r-21-r3,"philadelphia dept. of health, pa",2021-03-05,pending: in informal resolution agreement negotiation,pending,pending,in informal resolution agreement negotiation,2023-06-13,,race,,830,02r-21-r3 complaint (pdf) (296.4 kb)
