FY Rec'd,Summary Status,EPA File #,Named Entity,Date Received,Alleged Discrimination Basis,Detailed Status,Related Documents
FY23,Active,02RNO-23-R3,Delaware Dept. of Natural Resources & Envir. Control,12/22/2022,"Title VI: Race, National Origin",Pending: Under Jurisdictional Review,02RNO-23-R3 Complaint (pdf) (2.66 MB)
FY23,Active,03RNO-23-R3,"Sussex County, DE",12/22/2022,"Title VI: Race, National Origin",Pending: Under Jurisdictional Review,03RNO-23-R3 Complaint (pdf) (2.66 MB)
FY23,Active,02R-23-R6,Louisiana DEQ (Town of Mansura),12/16/2022,Title VI: Race,Pending: Under Jurisdictional Review,02R-23-R6 Complaint (pdf) (307.67 KB)
FY23,Active,01RNO-23-R9,California State Water Resources Control Board,12/16/2022,"Title VI: Race, National Origin",Pending: Under Jurisdictional Review,01RNO-23-R9 Complaint and Exhibit Index (pdf) (5.62 MB) 01RNO-23-R9 Complaint Support Ltr (pdf) (327.01 KB)
FY23,Closed,01RNO-23-R1,City of Malden (MA),12/14/2022,"Title VI: Race, National Origin",Rejected and Referred to HUD 2/23/2023: Lack of jurisdiction,01NO-23-R1 Complaint (pdf) (310.33 KB) 01RNO-23-R1 REC Reject-Referral (pdf) (202.34 KB) 01RNO-23-R1 HUD Referral (pdf) (118.38 KB)
FY23,Closed,04X-23-R5,"Carroll County, IL Sheriff Dept.",11/27/2022,Unknown,"Rejected 12/6/2022: Lack of Discriminatory Act, Lack of Timeliness",04X-23-R5 Correspondence (pdf) (100.13 KB) 04X-23-R5 Correspondence Response (pdf) (85.86 KB)
FY23,Active,05NO-23-R6,Texas Comm. on Envir. Quality,11/16/2022,Title VI: National Origin,Pending: Under Jurisdictional Review,05NO-23-R6 Complaint (pdf) (166.46 KB)
FY23,Closed,03X-23-R6,Caddo Corr. Center (Louisiana),11/8/2022,Unknown,Rejected and Referred to DOJ 11/9/2022: Lack of Jurisdiction,03X-23-R6 Complaint (pdf) (1.55 MB) 03X-23-R6 DOJ Referral (pdf) (210.56 KB) 03X-22-R6 REC Reject-Referral (pdf) (228.06 KB)
FY23,Closed,03X-23-R5,Kinross Corr. Facility (Michigan),11/2/2022,Unknown,Rejected and Referred to DOJ 11/8/2022: Lack of Jurisdiction,03X-23-R5 Complaint (pdf) (1.76 MB) 03X-23-R5 DOJ Referral (pdf) (127.61 KB) 03X-23-R5 REC Reject-Referral (pdf) (133.35 KB) 03X-23-R5 Complaint 2 (pdf) (2.95 MB) 03X-23-R5 Complaint 3 (pdf) (3.26 MB)
FY23,Closed,02RNO-23-R5,Illinois EPA,10/31/2022,"Title VI: Race, National Origin",Rejected/Admin. Closure 1/5/2023: Anonymous Complaint,02RNO-23-R5 Complaint (pdf) (120.93 KB) 02RNO-23-R5 REC Rejection (pdf) (183.43 KB)
FY23,Closed,01R-23-R6,"City of Corpus Christi, TX",10/26/2022,Title VI: Race,Rejected w/o Prejudice in Light of Pending HUD Investigation: 3/22/2023,01R-23-R6 Complaint and Exhibits (pdf) (47.74 MB) 01R-23-R6 REC Rejection Ltr (pdf) (208.89 KB)
FY23,Active,01R-23-R3,City of Baltimore Dept. of Public Works,10/24/2022,Title VI: Race,Pending: Under Jurisdictional Review,01R-23-R3 Complaint (pdf) (1.49 MB)
FY23,Closed,01RNO-23-R5,Indiana Dept. of Envir. Mgmt.,10/21/2022,"Title VI: Race, National Origin",Rejected w/o Prejudice - Pending In-state Petitions: 1/26/2023,01RNO-23-R5 Complaint (pdf) (56.98 KB) 01RNO-23-R5 REC Rejection Ltr (pdf) (232.72 KB)
FY22,Active,06R-22-R4,Mississippi Dept. of Health,09/27/2022,Title VI: Race,Pending: Under Investigation,"06R-22-R4 Complaint (pdf) (1.85 MB) 06R-22-R4 Exhibits (pdf) (13.71 MB) 06R-22-R4 Declaration (pdf) (286.19 KB)
06R-22-R4 REC Acceptance (pdf) (225.59 KB)"
FY22,Active,07R-22-R4,Mississippi Dept. of Envir. Quality,09/27/2022,Title VI: Race,Pending: Under Investigation,"07R-22-R4 Complaint (pdf) (1.85 MB) 07R-22-R4 Exhibits (pdf) (13.71 MB) 07R-22-R4 Declaration (pdf) (286.19 KB)
07R-22-R4 REC Acceptance (pdf) (225.59 KB)"
FY22,Closed,08R-22-R4,Mississippi Dept. of Finance and Administration,09/27/2022,Title VI: Race,Rejected 10/20/2022: Lack of Jurisdiction,"08R-22-R4 Complaint (pdf) (1.85 MB) 08R-22-R4 Exhibits (pdf) (13.71 MB) 08R-22-R4 Declaration (pdf) (286.19 KB)
08R-22-R4 REC Reject (pdf) (225.59 KB)"
FY22,Closed,07X-22-R6,Caddo Correctional Center (Louisiana),08/23/2022,Unknown,Rejected and Referred to DOJ 10/3/2022: Lack of Jurisdiction,"07X-22-R6 Complaint (pdf) (3.37 MB)
07X-22-R6 REC Reject-Referral (pdf) (231.47 KB)
07X-22-R6 DOJ Referral (pdf) (144.16 KB)"
FY22,Closed,02X-22-R8,Wyoming Women's Correctional Center,08/23/2022,Unknown (envir. conditions),Rejected and Referred to DOJ 10/3/2022: Lack of Jurisdiction,"02X-22-R8 Complaint (pdf) (1.23 MB)
02X-22-R8 REC Reject-Referral (pdf) (231.58 KB)"
FY22,Closed,01RNO-22-R7,Missouri DNR,08/10/2022,"Title VI: Race, National Origin",Rejected and Referred to HHS 1/4/2023: Lack of Jurisdiction (permit in question not issued by Missouri DNR),01RNO-22-R7 Complaint (pdf) (1.72 MB) 01RNO-22-R7 Rejection REC (pdf) (179.6 KB) 01RNO-22-R7 Rejection REC (Spanish) (pdf) (180.67 KB) 01RNO-22-R7 Referral HHS (pdf) (227.04 KB)
FY22,Closed,02Rr-22-R9,CNMI Small Business Administration Step Program,08/04/2022,Title VI: Race,Rejected 10/3/2022: Lack of jurisdiction; complaint concurrently filed with SBA,"02Rr-22-R9 Complaint Cover Email (pdf) (111.98 KB)
02Rr-22-R9 Complaint (pdf) (142.77 KB)
02Rr-22-R9 Complaint Att 1 (pdf) (83.2 KB)
02Rr-22-R9 Complaint Att 2 (pdf) (152.98 KB)
02Rr-22-R9 Complaint Att 3 (pdf) (828.21 KB)
02Rr-22-R9 Rejection REC (pdf) (230.51 KB)"
FY22,Closed,07Rr-22-R5,Miami Valley Regional Planning Comm. (OH),07/27/2022,"Title VI: Race, Retaliation",Rejected 10/3/2022: Lack of jurisdiction; complaint concurrently filed with EEOC,"07Rr-22-R5 Complaint (pdf) (457.35 KB)
07Rr-22-R5 Rejection REC (pdf) (232.14 KB)"
FY22,Active,05R-22-R3,D.C. Dept. of Energy & Envir.,05/25/2022,Title VI: Race,Pending: Under Jurisdictional Review,05R-22-R3 Complaint (pdf) (54.52 MB)
FY22,Active,06R-22-R3,D.C. Office of the Mayor,05/25/2022,Title VI: Race,Pending: Under Jurisdictional Review,06R-22-R3 Complaint (pdf) (54.52 MB)
FY22,Active,07R-22-R3,D.C. Dept. of General Services,05/25/2022,Title VI: Race,Pending: Under Jurisdictional Review,07R-22-R3 Complaint (pdf) (54.52 MB)
FY22,Active,08R-22-R3,D.C. Office of State Superintendent of Education,05/25/2022,Title VI: Race,Pending: Under Jurisdictional Review,08R-22-R3 Complaint (pdf) (54.52 MB)
FY22,Active,06RNO-22-R6,Texas Comm. on Envir. Quality (Concrete Plant),05/17/2022,"Title VI: Race, National Origin",Pending: In Informal Resolution Negotiation,"06RNO-22-R6 Complaint (pdf) (614.14 KB)
06RNO-22-R6 REC Acceptance (pdf) (123.93 KB) 06RNO-22-R6 REC Tolling Ltr (pdf) (226.8 KB)"
FY22,Active,05RNO-22-R6,Texas Comm. on Envir. Quality (Harris County),04/05/2022,"Title VI: Race, National Origin",Pending: In Informal Resolution Negotiation,"05RNO-22-R6 Complaint (pdf) (4.88 MB)
05RNO-22-R6 REC Acceptance (pdf) (123.93 KB) 05RNO-22-R6 REC Tolling Ltr (pdf) (226.8 KB)"
FY22,Active,05RNO-22-R4,Florida Dept. of Envir. Protection,03/31/2022,"Title VI: Race, National Origin",Pending: Under Investigation,05RNO-22-R4 Complaint (pdf) (1.24 MB) 05RNO-22-R4 Complaint Supplement (pdf) (904.15 KB) 05RNO-22-R4 REC Acceptance Ltr (pdf) (218.16 KB)
FY22,Active,05R-22-R5,Wisconsin DNR,03/23/2022,Title VI: Race,Pending: Under Jurisdictional Review,05R-22-R5 Complaint (pdf) (1.23 MB)
FY22,Active,06R-22-R5,Madison Metro Sewerage Dist (WI),03/23/2022,Title VI: Race,Pending: Under Jurisdictional Review,06R-22-R5 Complaint (pdf) (1.23 MB)
FY22,Active,01CR-22-R8,Colorado Dept. of Public Health and Envir.,03/18/2022,"Title VI: Race, National Origin",Pending: Compliance Review Investigation Initiated,"01CR-22-R8 Compliance Review Initiation- English (pdf) (156.02 KB)

01CR-22-R8 Compliance Review Initiation- Spanish (pdf) (93.71 KB)
CDPHE Compliance Review Second Letter - English (pdf) (185.35 KB)
CDPHE Compliance Review Second Letter - Spanish (pdf) (187.04 KB)"
FY22,Active,04RDA-22-R4,North Carolina DEQ (Burlington North Facility),03/17/2022,"Title VI: Race, Section 504/Age Act: Disability, Age Disability",Pending: Under Jurisdictional Review,04RDA-22-R4 Complaint (pdf) (351.95 KB)
FY22,Active,02R-22-R1,Massachusetts DEP,02/17/2022,Title VI: Race,Pending: In Informal Resolution Negotiation,02R-22-R1 Complaint (pdf) (2.05 MB) 02R-22-R1 Acceptance Ltr (pdf) (167.25 KB) 02R-22-R1 REC Tolling Ltr (pdf) (188.21 KB)
FY22,Active,04R-22-R6,Louisiana Dept. of Envir. Quality (St. James Parish),02/02/2022,Title VI: Race,Pending: In Informal Resolution Negotiation,"04R-22-R6 Complaint (pdf) (7.65 MB)
04R-22-R6 Acceptance REC (pdf) (150.42 KB)
2022 10 12 LDEQ LDH 01R-22-R6, 02R-22-R6, 04R-22-R6 Letter (pdf) (1017.92 KB)"
FY22,Closed,03R-22-R6,City of Houston,01/28/2022,Title VI: Race,Rejected Without Prejudice 8/4/2022: Complaint Accepted for Investigation by U.S. DOJ,"03R-22-R6 Complaint (pdf) (7.26 MB)
03R-22-R6 REC Rejection (pdf) (114.47 KB)"
FY22,Active,03R-22-R4,Georgia DNR (Envir. Protection Div.),01/24/2022,Title VI: Race,Pending: In Informal Resolution Agreement Negotiation,"03R-22-R4 Complaint (pdf) (210.6 KB)
03R-22-R4 Complaint Amendment (pdf) (104.76 KB)
03R-22-R4 Acceptance REC (pdf) (126.76 KB)
03R-22-R4 Tolling Ltr REC (pdf) (227.85 KB)"
FY22,Active,01R-22-R6,Louisiana Dept. of Envir. Quality (St. John the Baptist Parish),01/20/2022,Title VI: Race,Pending: In Informal Resolution Agreement Negotiation,"01R-22-R6 Complaint (pdf) (2.65 MB)
01R-22-R6 Acceptance REC (pdf) (150.42 KB)
2022 10 12 LDEQ LDH 01R-22-R6, 02R-22-R6, 04R-22-R6 Letter (pdf) (1017.92 KB)"
FY22,Active,02R-22-R6,Louisiana Dept. of Health,01/20/2022,Title VI: Race,Pending: In Informal Resolution Agreement Negotiation,"02R-22-R6 Complaint (pdf) (2.65 MB)
02R-22-R6 Acceptance REC (pdf) (143.06 KB)
2022 10 12 LDEQ LDH 01R-22-R6, 02R-22-R6, 04R-22-R6 Letter (pdf) (1017.92 KB)"
FY22,Closed,04RNO-22-R5,City of Chicago (Dept. of Health),01/11/2022,"Title VI: Race, National Origin",Rejected w/o Prejudice in Light of Pending HUD Investigation: 4/26/2022,"04RNO-22-R5 Complaint (pdf) (212.52 KB)
04RNO-22-R5 REC Reject Without Prejudice Ltr (pdf) (117.25 KB)"
FY22,Closed,01NO-22-R10,Puget Sound Clean Air Agency (WA),01/11/2022,Title VI: National Origin,Rejected w/o Prejudice - Pending Litigation: 1/4/2023,01NO-22-R10 Complaint (pdf) (3.44 MB) 01NO-22-R10 REC Rejection Ltr (pdf) (184.99 KB) 01NO-22-R10 Amended Rejection Ltr (pdf) (186.01 KB)
FY22,Active,01RNO-22-R1,Providence Water Supply Board (RI),01/05/2022,"Title VI: Race, National Origin",Pending: In Informal Resolution Agreement Negotiation,"01RNO-22-R1 Complaint (pdf) (1.5 MB)
01RNO-22-R1 Acceptance REC (pdf) (142.58 KB)
01RNO-22-R1 Tolling Ltr REC (pdf) (110.54 KB)"
FY22,Closed,03DRr-22-R5,Michigan EGLE – (Flint II),12/31/2021,"Title VI: Race, Retaliation
Section 504: Disability",Admin Closure 12/14/2022: Complaint Withdrawn,"03DRr-22-R5 Complaint (pdf) (1.07 MB)
03DRr-22-R5 Acceptance REC (pdf) (119 KB) 03DRr-22-R5 Retaliation Ltr EGLE (pdf) (109.63 KB)
03DRr-22-R5 Tolling Ltr REC (pdf) (115.09 KB) 03DRr-22-R5 Withdrawal Ltr REC (pdf) (404.5 KB)"
FY22,Closed,01DAr-22-R3,PA Dept. of Health (Wyoming County),12/20/2021,"Section 504: Disability:

Age Discrimination Act: Age

Title VI: Retaliation",Rejected/Referred to HHS 4/8/2023: Lack of Jurisdiction,01DAr-22-R3 Complaint (pdf) (145.31 KB) HHS Referral Ltr 01DAr-22-R3 (pdf) (218.46 KB) 01DAr-22-R3 REC Reject-Referral (pdf) (178.03 KB)
FY22,Closed,02DAr-22-R3,PA DEP (Wyoming County),12/20/2021,"Section 504: Disability

Age Discrimination Act: Age

Title VI: Retaliation",Rejected 4/10/2023: Untimely Filing of Complaint,02DAr-22-R3 Complaint (pdf) (690.35 KB) 02DAr-22-R3 REC Rejection (pdf) (195.91 KB)
FY22,Closed,03Dr-22-R3,PA DOH (Susquehanna County),12/20/2021,"Section 504: Disability

Title VI: Retaliation",Rejected/Referred to HHS 4/8/2023: Lack of Jurisdiction,03Dr-22-R3 Complaint (pdf) (169.08 KB) HHS Referral Ltr 03Dr-22-R3 (pdf) (218.46 KB) 03Dr-22-R3 REC Reject-Referral (pdf) (178.03 KB)
FY22,Closed,04Dr-22-R3,PA DEP (Susquehanna County),12/20/2021,"Section 504: Disability

Title VI: Retaliation",Rejected 4/10/2023: Untimely Filing of Complaint,04Dr-22-R3 Complaint (pdf) (161.69 KB) 04Dr-22-R3 REC Rejection (pdf) (195.91 KB)
FY22,Active,01RNO-22-R9,Pima County (AZ) DEQ,12/19/2021,"Title VI: Race, National Origin",Pending: In Informal Resolution Agreement Negotiation,"01RNO-22-R9 Complaint (pdf) (2.67 MB)
01RNO-22-R9 Acceptance REC (pdf) (126.04 KB) 01RNO-22-R9 REC Tolling Ltr (pdf) (225.22 KB)"
FY22,Closed,01D-22-R2,Puerto Rico ASA,11/18/2021,Section 504: Disability,Rejected/Referred to EEOC 3/31/2022: Lack of Jurisdiction,"01D-22-R2 Complaint (pdf) (63.1 KB)
01D-22-R2 REC Reject-Referral (pdf) (107.45 KB)
01D-22-R2 EEOC Referral (pdf) (106.94 KB)"
FY22,Active,01RNO-22-R5,Michigan EGLE (Flint I),11/08/2021,"Title VI: Race, National Origin",Pending: In Informal Resolution Agreement Negotiation,"01RNO-22-R5 Complaint (pdf) (376.87 KB)
01RNO-22-R5 Acceptance REC (pdf) (119 KB)
01RNO-22-R5 Tolling Ltr REC (pdf) (115.09 KB)"
FY22,Active,02RNO-22-R5,Michigan EGLE (Detroit),11/08/2021,"Title VI: Race, National Origin",Pending: In Informal Resolution Agreement Negotiation,"02RNO-22-R5 Complaint (pdf) (2.55 MB)
02RNO-22-R5 REC Acceptance (pdf) (138.98 KB)
02RNO-22-R5 Tolling Ltr REC (pdf) (115.09 KB)"
FY22,Closed,01R-22-R4,"City of Conyers, GA",10/14/2021,Title VI: Race,Rejected/Referred to HUD 7/6/2022: Lack of Jurisdiction,"01R-22-R4 Complaint (pdf) (210.6 KB)
01R-22-R4 REC Reject-Referral (pdf) (125.19 KB)
01R-22-R4 Reject-Referral HUD (pdf) (102.72 KB)"
FY22,Active,02R-22-R4,"Rockdale County, GA",10/14/2021,Title VI: Race,Pending: In Informal Resolution Agreement Negotiation,"02R-22-R4 Complaint (pdf) (210.6 KB)
02R-22-R4 Acceptance REC (pdf) (125.1 KB) 02R-22-R4 REC Tolling Ltr (pdf) (228.11 KB)"
FY21,Active,05RNO-21-R4,North Carolina Dept. of Envir. Quality,09/27/2021,"Title VI: Race, National Origin",Pending: In Informal Resolution Agreement Negotiation,05RNO-21-R4 Complaint (pdf) (761.71 KB) 05RNO-21-R4 Complaint Supplement (pdf) (493.84 KB)
FY21,Active,03NO-21-R6,New Mexico Envir. Dept.,09/16/2021,Title VI: National Origin,Pending: In Informal Resolution Agreement Negotiation,03NO-21-R6 Complaint (pdf) (54.11 KB)
FY21,Closed,03R-21-R5,Kalamazoo County,09/01/2021,Title VI: Race,Rejected 11/24/2021: Untimely Filed,03R-21-R5 Complaint (pdf) (61.92 KB)
FY21,Active,04R-21-R5,Michigan EGLE (Kalamazoo),09/01/2021,Title VI: Race,Pending: In Informal Resolution Agreement Negotiation,04R-21-R5 Complaint (pdf) (61.92 KB)
FY21,Active,02RNO-21-R2,New York State Dept. of Envir. Conservation,08/30/2021,"Title VI: Race, National Origin",Pending: In Informal Resolution Agreement Negotiation,02RNO-21-R2 Complaint (pdf) (15.51 MB)
FY21,Closed,03RNO-21-R2,New York Dept. of Public Service,08/30/2021,"Title VI: Race, National Origin","Not Accepted for Investigation 10/21/2021: Lack of Jurisdiction (Accepted by DOT; DOT, EPA, DEC and DPS are Coordinating on Informal Resolution Agreement Negotiation",03RNO-21-R2 Complaint (pdf) (15.51 MB)
FY21,Closed,04RNO-21-R2,National Grid,08/30/2021,"Title VI: Race, National Origin","Not Accepted for Investigation 10/21/2021: Lack of Jurisdiction (Coordinating with DOJ, DOT, DOE)",04RNO-21-R2 Complaint (pdf) (15.51 MB)
FY21,Active,02R-21-R6,Texas Comm. on Envir. Quality,08/18/2021,Title VI: Race,Pending: In Informal Resolution Agreement Negotiation,02R-21-R6 Complaint (pdf) (4.27 MB)
FY21,Active,03R-21-R3,Virginia Dept. of Envir. Quality,07/21/2021,Title VI: Race,Pending: In Informal Resolution Agreement Negotiation,"03R-21-R3 Complaint (pdf) (67.38 KB)
03R-21-R3 Complaint Attachment (pdf) (225.37 KB)"
FY21,Closed,04R-21-R3,"Hanover County, VA",07/21/2021,Title VI: Race,Rejected 8/12/2021: Lack of Jurisdiction,"04R-21-R3 Complaint (pdf) (67.38 KB)
04R-21-R3 Complaint Attachment (pdf) (225.37 KB)"
FY21,Closed,01DS-21-R2,"Borough of Sayreville, NJ",06/29/2021,"Section 504/Title IX: Disability, Sex",Rejected 7/23/2021: Lack of Jurisdiction,01X-21-R2 Complaint (pdf) (174.81 KB)
FY21,Closed,02D-21-R3,Maryland Dept. of Environment,06/01/2021,"Section 504: Disability, Employment",Rejected 7/28/2021: Untimely Filed/Same Complaint Pending with EEOC,02D-21-R3 Complaint (pdf) (64.09 KB)
FY21,Closed,01RNO-21-R6,Texas Dept. of Transportation,05/28/2021,"Title VI: Race, National Origin","Rejected 6/24/2021: Same Complaint Pending with Lead Agency, U.S. DOT","01RNO-21-R6 Complaint (pdf) (131.35 KB)
01RNO-21-R6 Reject REC (pdf) (110.6 KB)"
FY21,Active,02R-21-R5,Upper Miss. River Basin Association,05/28/2021,Title VI: Race,Pending: In Informal Resolution Agreement Negotiation,02R-21-R5 Complaint (pdf) (69.05 KB)
FY21,Closed,04X-21-R4,South Carolina Agencies,05/25/2021,Unknown,Rejected 7/7/2021: Lack of Information/Complainant Non-Responsive,04X-21-R4 Complaint (pdf) (8.07 MB)
FY21,Active,03R-21-R4,Tenn. Dept. of Envir. and Conservation,05/21/2021,Title VI: Race,Pending: In Informal Resolution Agreement Negotiation,03R-21-R4 Complaint (pdf) (2.22 MB)
FY21,Closed,02AD-21-R4,EPA Region 4,03/26/2021,"Section 504/Age Act: Disability, Age",Rejected 4/30/2021: Lack of Jurisdiction,02AD-21-R4 Complaint (pdf) (791.14 KB)
FY21,Active,02R-21-R3,"Philadelphia Dept. of Health, PA",03/05/2021,Title VI: Race,Pending: In Informal Resolution Agreement Negotiation,02R-21-R3 Complaint (pdf) (296.4 KB)
FY21,Closed,01R-21-R4,"Town of Trenton, NC",03/05/2021,Title VI: Race,Rejected 3/22/2021: Lack of Jurisdiction,01R-21-R4 Complaint (pdf) (1.17 MB)
FY21,Closed,01R-21-R3,"City of Ranson, WV",01/08/2021,Title VI: Race,Rejected 1/28/2021: Lack of Jurisdiction,01R-21-R3 Complaint (pdf) (46.86 MB)
FY21,Active,01RNO-21-R5,Illinois EPA,01/06/2021,"Title VI: Race, National Origin",Pending: In Informal Resolution Agreement Negotiation,01RNO-21-R5 Complaint (pdf) (175 KB)
FY21,Resolved/In Monitoring,01R-21-R9,"Bay Area Air Quality Monitoring District, CA",11/30/2020,Title VI: Race,Resolved with Voluntary Compliance Agreement 10/03/2022: In Monitoring,"01R-21-R9 Complaint (pdf) (11.67 MB) 01R-21-R9 REC Acceptance (pdf) (194.64 KB)
01R-21-R9 VCA Rec Letter (pdf) (201.07 KB)
01R-21-R9 VCA Final (pdf) (243.59 KB)"
FY21,Closed,02R-21-R9,"San Francisco Dept. of Public Health, CA",11/30/2020,Title VI: Race,Rejected 12/22/2020: Lack of Jurisdiction,02R-21-R9 Complaint (pdf) (11.67 MB)
