epa_file_#,named_entity_x,clean_date_received_x,detailed_status,simplified status,Reason for rejection (if applicable),Date of EPA decision,"Presidential administration (considering, if pending; decided, if not)",Environmental Justice Issue(s) Cited,Alleged Discrimination Basis,City,State,ZIP code,Community Impacted,Filed by a lawyer?,Group filing,Filed on behalf of,Is this an EPA-initiated compliance review?,Does the complaint seem to be about an environmental justice matter? ,Notes on EJ categorization,Is there more than one complaint about the matter?,All related complaint numbers,"Total related complaints (includes situations where they're all unique, e.g. complaints filed at different times)","Count this as a unique complaint? (If part of a split complaint, the case with the highest EPA action status is marked ""yes"")",Complaint link,Notes,Additional notes,status check
07R-23-R1,The Metropolitan District (MDC),3/5/2023,Pending: Under Jurisdictional Review,pending: under jurisdictional review,,Not yet decided,Biden,"Black residents of Hartford’s North End ""impacted by sewage discharge and flooding in our homes due to racially discriminatory behavior by the City of Hartford and Hartford’s Metropolitan District Commission ('MDC') water utility.""",Title VI: Race,Hartford,CT,multiple,Black community,Unclear,Redacted individual,,No,Yes,,"Yes (there is a separate complaint on the matter that's also split in multiple, but I don't list those here)","06R-23-R1, 07R-23-R1",2,no,https://www.epa.gov/system/files/documents/2023-03/07R-23-R1%20Complaint_Redacted.pdf,"""Over several months, Hartford experienced consistent rainfall that caused an extraordinary amount of precipitation that flooded our homes with water and sewage, including human waste. This flooding devastated our home. I was horrified to learn that my basement was flooded with sewage from houses throughout my neighborhood. Even when a representative from the Connecticut Department of Energy and Environmental Quality ('DEEP') and I urged MDC to act quickly to fix the flapper valve that led to the discharge, they refused to take action, and my home was flooded with an additional three feet of water. ... My basement was full of antiques, family heirlooms, and personal items that had enormous personal and familial value to me. When the water and sewage flooded the space, I lost everything. What’s more, the stagnant water in my basement worsened the air quality in my home, making it unlivable and unsafe. As a result, I have moved into a hotel for the last several months to try and preserve my health. The need to relocate is an enormous personal cost that is straining my budget well beyond its limits. ... While many residents will be impacted by this flooding and sewage backup, the impacts will be much worse for low-income families without the disposable incomes and resources to respond to these disasters. What’s more, legacies and present realities of environmental racism and housing discrimination have pushed communities of color into areas that are more likely to have weaker pipes, less responsive utility service, and fewer natural barriers to stop flooding and sewage backup. Consequently, the communities most impacted by stormwater surge, flooding, and sewer back-up tend to be communities like mine – those that are composed of people of color and low-income communities.""","EPA page on the matter: https://www.epa.gov/ct/epa-efforts-north-hartford-address-sewer-backups
https://www.courant.com/2023/03/24/epa-update-story/
https://ctmirror.org/2023/03/25/hartford-ct-sewage-flooding-water-north-end/
https://www.courant.com/2023/01/20/north-hartford-residents-say-epa-left-them-high-and-dry-over-flooding-complaints-agency-postpones-review-due-to-unanticipated-publicity/",Pending: Under Jurisdictional Review
06NO-23-R2,NYC Dept. of Envir. Protection,3/2/2023,Rejected 5/31/2023: Lack of Timely Discriminatory Act,rejected,lack of timely discriminatory act,5/31/2023,Biden,"New York City agencies are aware and have not taken action about ""the dangers to public health due to the magico-religious uses of elemental mercury in NYCs’ Caribbean and Latino communities""",Title VI: National Origin,New York,NY,not listed,Caribbean and Latino communities,No,Redacted individual,,No,Unlikely,No discrimination cited; unclear on whether the process could apply to agencies not stepping in related to individual actions that endanger public health,"Yes (there are also two additional complaints in NJ, not included in the related-case column)","06NO-23-R2, 07NO-23-R2",2,yes,https://www.epa.gov/system/files/documents/2023-03/06NO-23-R2%20Complaint_Redacted.pdf,,,Rejected 5/31/2023: Lack of Timely Discriminatory Act
07NO-23-R2,NYC Dept. of Health & Mental Hygiene,3/2/2023,Rejected 5/31/2023: Lack of Timely Discriminatory Act,rejected,lack of timely discriminatory act,5/31/2023,Biden,"New York City agencies are aware and have not taken action about ""the dangers to public health due to the magico-religious uses of elemental mercury in NYCs’ Caribbean and Latino communities""",Title VI: National Origin,New York,NY,not listed,Caribbean and Latino communities,No,Redacted individual,,No,Unlikely,No discrimination cited; unclear on whether the process could apply to agencies not stepping in related to individual actions that endanger public health,"Yes (there are also two additional complaints in NJ, not included in the related-case column)","06NO-23-R2, 07NO-23-R2",2,no,https://www.epa.gov/system/files/documents/2023-03/06NO-23-R2%20Complaint_Redacted.pdf,,,Rejected 5/31/2023: Lack of Timely Discriminatory Act
05RNO-23-R1,CT Dept. of Energy & Envir. Protection,2/28/2023,Pending: Under Jurisdictional Review,pending: under jurisdictional review,,Not yet decided,Biden,"Sewage overflows and lack of stormwater and flood controls affecting the North End of Hartford, which is predominently Black. Complaint mentions the state agency as well as the Metropolitan District (MDC). ""It is also evidenced that when the predominantly white West Hartford encountered sewage backup; MDC corrected the problems immediately.""","Title VI: Race, National Origin",Hartford,CT,multiple,Primarily Black residents,No,Redacted individual and/or group,,No,Yes,,Yes,"02rno-23-r1, 03rno-23-r1, 05RNO-23-R1",3,yes,https://www.epa.gov/system/files/documents/2023-03/05RNO-23-R1%20Complaint_Redacted.pdf,,,Pending: Under Jurisdictional Review
04NO-23-R1,Mass. EEA,2/24/2023,Pending: Under Jurisdictional Review,pending: under jurisdictional review,,Not yet decided,Biden,"State approved a waste management facility expansion, allowing the company ""to go months without conducting any community outreach, providing little to no interpretation services, and effectively withholding information from LEP speakers by failing to provide copies of key documents translated into the community members’ languages.""",Title VI: National Origin,New Bedford,MA,not listed; site is at 02745,Low English proficiency residents,Yes,South Coast Neighbors United; Conservation Law Foundation,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2023-03/04NO-23-R1%20Complaint_Redacted%20%28Complaint%20Only%29.pdf,Unredacted complaint: https://www.clf.org/wp-content/uploads/2023/02/CLF-SCNU-Title-VI-Complaint-EEAMEPA-2.24.23.pdf. Press release: https://www.clf.org/newsroom/clf-community-challenge-expanded-waste-facility-in-new-bedford/,,Pending: Under Jurisdictional Review
02X-23-R4,Northwest Correctional  Complex (Tenn.),2/22/2023,Rejected and Referred to DOJ 3/8/2023: Lack of Jurisdiction,rejected and referred,Lack of jurisdiction,3/8/2023,Biden,"None. Complainant said they were told, ""go back inside, because you do not deserve fresh air.""",Unknown,Tiptonville,TN,38079,Inmate,No,Redacted individual,,No,No,Not an environmental complaint. It's about access to the outdoors.,,,1,yes,https://www.epa.gov/system/files/documents/2023-03/02X-23-R4%20Correspondence_Redacted.pdf,"Noteworthy: Complainant said a prison staffer with the title of captain, replying to a comment about the Clean Air Act, said, ""The E.P.A. do not run nothing down here.""",,Rejected and Referred to DOJ 3/8/2023: Lack of Jurisdiction
04NO-23-R2,NJ Dept. of Envir. Protection,2/16/2023,Rejected 5/31/2023: Lack of Timely Discriminatory Act,rejected,lack of timely discriminatory act,5/31/2023,Biden,"New Jersey agencies are aware and have not taken action about the dangers to public health due to ""magico-religious mercury exposure""",Title VI: National Origin,Unclear,NJ,not listed,Caribbean and Latino communities,No,Redacted individual,,No,Unlikely,No discrimination cited; unclear on whether the process could apply to agencies not stepping in related to individual actions that endanger public health,"Yes (there are also two additional complaints in NY, not included in the related-case column)","04NO-23-R2, 05NO-23-R2",2,yes,epa.gov/system/files/documents/2023-02/04NO-23-R2%20Complaint_Redacted.pdf,,,Rejected 5/31/2023: Lack of Timely Discriminatory Act
05NO-23-R2,NJ Dept. of Health,2/16/2023,Rejected 5/31/2023: Lack of Timely Discriminatory Act,rejected,lack of timely discriminatory act,5/31/2023,Biden,"New Jersey agencies are aware and have not taken action about the dangers to public health due to ""magico-religious mercury exposure""",Title VI: National Origin,Unclear,NJ,not listed,Caribbean and Latino communities,No,Redacted individual,,No,Unlikely,No discrimination cited; unclear on whether the process could apply to agencies not stepping in related to individual actions that endanger public health,"Yes (there are also two additional complaints in NY, not included in the related-case column)","04NO-23-R2, 05NO-23-R2",2,no,https://www.epa.gov/system/files/documents/2023-02/05NO-23-R2%20Complaint_Redacted.pdf,,,Rejected 5/31/2023: Lack of Timely Discriminatory Act
01NO-23-R10,Yakima Regional Clean Air Agency,2/6/2023,Pending: Under Jurisdictional Review,pending: under jurisdictional review,,Not yet decided,Biden,"Request to reopen a prior case: 34RNO-16-R10. Agency doesn't provide information to the limited English proficiency community needed to participate in policy decisions and other activities, despite signing an informal agreement with the EPA in 2019 to take certain actions related to the LEP community. The agency also takes air samples and investigates complaints in the more affluent English-speaking part of the county but not the LEP part",Title VI: National Origin,South Yakama County,WA,not listed,"Low English proficiency residents, Latino residents",,Friends of Toppenish Creek,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2023-03/01NO-23-R10%20Complaint%201_Redacted.pdf,"""In 2022 neighbors of two limited use landfills located in a section of Northern Yakima County with few LEP resident, complained to the YRCAA and other agencies about air emissions from the landfills. The agencies met with the people and set up fenceline air monitoring to evaluate the problem – as they should.33, 34, 35, 36 People who live in South Yakima County have complained about emissions from CAFO dairies for decades and have been routinely ignored""",,Pending: Under Jurisdictional Review
06x-23-r6,Coffield Unit (Texas Dept. of Criminal Justice),2023-01-19,rejected and referred to doj 1/26/2023: lack of jurisdiction,rejected and referred,Lack of jurisdiction,1/26/2023,Biden,"Complainant says they're experiencing ""racial issues"" at a prison, experiencing violations of a right to safety. No environmental issues cited.",Unknown,Tennessee Colony,TX,75861,Inmates,No,,,No,No,No environmental issues noted in the complaint,,,1,yes,https://www.epa.gov/system/files/documents/2023-02/06X-23-R6%20Complaint_Redacted.pdf,No environmental issues noted in the complaint,,Rejected and Referred to DOJ 1/26/2023: Lack of Jurisdiction
02rno-23-r1,"city of hartford, ct",2023-01-18,pending: under jurisdictional review,pending: under jurisdictional review,,Not yet decided,Biden,"Sewage and waste overflow, Toxic Flooding","Title VI: Race, National Origin",Hartford,CT,06120,Black & Latino residents ,No,Redacted individual (might be Bridgitte Prince),,No,Yes,,"Yes (there is a separate complaint on the matter that's also split in multiple, but I don't list those here)","02rno-23-r1, 03rno-23-r1, 05RNO-23-R1",3,yes,epa.gov/system/files/documents/2023-02/02RNO-23-R1%20Complaint_Redacted.pdf,https://www.ctpublic.org/news/2023-01-27/epa-says-they-are-inspecting-the-metropolitan-district-due-to-flooding-and-sewage-issues-in-hartford,,Pending: Under Jurisdictional Review
03rno-23-r1,the metropolitan district (mdc),2023-01-18,pending: under jurisdictional review,pending: under jurisdictional review,,Not yet decided,Biden,"Sewage and waste overflow, Toxic Flooding","Title VI: Race, National Origin",Hartford,CT,06120,Black & Latino residents ,No,Redacted individual (might be Bridgitte Prince),,No,Yes,,"Yes (there is a separate complaint on the matter that's also split in multiple, but I don't list those here)","02rno-23-r1, 03rno-23-r1, 05RNO-23-R1",3,no,https://www.epa.gov/system/files/documents/2023-02/03RNO-23-R1%20Complaint_Redacted.pdf,"Note: EPA incorrectly lists the case number as 03RNO-23-R3, but it's correct on the document. Story: https://www.ctpublic.org/news/2023-01-27/epa-says-they-are-inspecting-the-metropolitan-district-due-to-flooding-and-sewage-issues-in-hartford",,#N/A
02x-23-r9,california training facility (calif. dept. of corrections & rehab.),2023-01-18,rejected and referred to doj 1/26/2023: lack of jurisdiction,rejected and referred,Lack of jurisdiction,1/26/2023,Biden,Concerns about economic opportunities/challenges after exiting prison,Unknown,Soledad,CA,93960,Inmates,No,,,No,No,No environmental issues noted in the complaint,,,1,yes,https://www.epa.gov/system/files/documents/2023-02/02X-23-R9%20Correspondence_Redacted.pdf,The complaint did not include any environmental issues. It was focused on economic concerns post-sentence.,,Rejected and Referred to DOJ 1/26/2023: Lack of Jurisdiction
01r-23-r4,"ga dept. of natural resources, envir. protection div.",2023-01-04,pending: under jurisdictional review,pending: under jurisdictional review,,Not yet decided,Biden,Wood pellet mills approved to be built in disproportionately impacted EJ community,Title VI: Race,Adel,GA,31620,Black & Latino residents ,Yes,Southern Environmental Law Center,Concerned Citizens of Cook County (per news reports),No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2023-01/01R-23-R4%20Complaint_Redacted.pdf,Article on complaint: https://www.delawareonline.com/story/news/2023/02/13/environmental-justice-complaint-filed-against-dnrec-and-sussex-county/69840808007/,,Pending: Under Jurisdictional Review
03rno-23-r3,"sussex county, de",2022-12-22,pending: under jurisdictional review,pending: under jurisdictional review,,Not yet decided,Biden,Proposal for methane gas production plant and refinery in a disproportionately impacted EJ community,"Title VI: Race, National Origin",Seaford,DE,19973,"Black & Latino residents, limited English proficeny ",Yes,Socially Responsible Agriculture Project; Sussex Health and Environmental Network; American Civil Liberties Union of Delaware; Delaware Poor People’s Campaign; Delaware State Conference of Branches of the National Association for the Advancement of Colored People,,No,Yes,,,"03rno-23-r3, 02rno-23-r3",2,no,https://www.epa.gov/system/files/documents/2023-01/03RNO-23-R3%20Complaint_Redacted.pdf,Unredacted complaint: https://drive.google.com/file/d/14GT7nw5Nk44OVnx55a-rUh51XjnaDwju/view,,Pending: Under Jurisdictional Review
02rno-23-r3,delaware dept. of natural resources & envir. control,2022-12-22,pending: under jurisdictional review,pending: under jurisdictional review,,Not yet decided,Biden,Proposal for methane gas production plant and refinery in a disproportionately impacted EJ community,"Title VI: Race, National Origin",Seaford,DE,19973,"Black & Latino residents, limited English proficeny ",Unclear,Redacted individuals and/or groups,,No,Yes,,,"03rno-23-r3, 02rno-23-r3",2,yes,https://www.epa.gov/system/files/documents/2023-01/02RNO-23-R3%20Complaint_Redacted.pdf,,,Pending: Under Jurisdictional Review
02r-23-r6,louisiana deq (town of mansura),2022-12-16,pending: under jurisdictional review,pending: under jurisdictional review,,Not yet decided,Biden,"Town operating an ""illegal dump site"" in a Black community (no permits, etc.)",Title VI: Race,Mansura,LA,71350,Black residents,No,Redacted individual,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2023-01/02R-23-R6%20Complaint_Redacted.pdf,,,Pending: Under Jurisdictional Review
01rno-23-r9,california state water resources control board,2022-12-16,pending: under jurisdictional review,pending: under jurisdictional review,,Not yet decided,Biden,"State failed to review and update water quality standards in the San Francisco Bay/Sacramento-San Joaquin Delta Estuary, allowing waterways ""to descend into ecological crisis, with the resulting environmental burdens falling most heavily on Native tribes and other communities of color.""","Title VI: Race, National Origin",San Francisco Bay/Sacramento-San Joaquin region,CA,multiple,"Tribal members, other communities of color",Yes,Mills Legal Clinic at Stanford Law School,Shingle Springs Band of Miwok Indians; Winnemem Wintu Tribe; Little Manila Rising; Restore the Delta; Save California Salmon,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2023-03/01RNO-23-R9%20Complaint%20and%20Exhibit%20Index_Redacted.pdf,"Unredacted complaint: https://www.restorethedelta.org/wp-content/uploads/2022-12-16-Bay-Delta-Complaint-and-Petition.pdf. From the complaint: ""Its waterways are plagued by dangerously low flows, native fish die-offs, high water temperatures, encroaching salinity, and overgrowths of toxic algae or cyanobacteria known as harmful algal blooms.""",,Pending: Under Jurisdictional Review
